id,brand_name,status
852,Loose Rice & Dals & Spices,1
853,Sri Lakshmi Srinivasa,1
854,Riddi Siddi,1
855,Karishma,1
856,Kolhu Natural,1
857,Licious,1
858,Micks,1
859,Rich Feast,1
860,Mother'S Recipe,1
862,Nutrela,1
863,4700Bc,1
864,Boost,1
865,Frustar,1
866,Hatti Kaapi,1
867,Juscoco,1
868,Kitchens,1
869,Naturals,1
870,Open Secret,1
871,Organic Tattwa,1
872,Pipo,1
873,Rasna,1
874,Savalon,1
875,Sipon,1
876,Skinstone,1
877,Tendo,1
878,Varamahalakshmi,1
879,Beardo,1
880,Secret,1
881,Dermi Cool,1
882,Pure Heart,1
883,St.Dalfour,1
884,Apis,1
885,HP,1
886,Naagin indian,1
887,Wilsons,1
888,Who hup,1
889,ITC,1
890,Safoo,1
891,Lavie Handbag Offer,1
