id,variations_types,stocks,size
IT004132,[],0,0
IT004131,[],0,0
IT004133,[],0,0
IT000719,[],0,0
IT016308,[],0,0
IT011731,[],0,0
IT000699,[],0,0
IT014111,[],0,0
IT000687,[],0,0
IT014102,[],0,0
IT004138,[],0,0
IT003909,[],0,0
IT016305,[],0,0
IT001021,[],0,0
IT001013,[],0,0
IT001019,[],0,0
IT003382,[],0,0
IT003374,[],0,0
IT003381,[],0,0
IT014767,[],0,0
IT014768,[],0,0
IT013241,[],0,0
IT013242,[],0,0
IT013243,[],0,0
IT004905,[],0,0
IT003378,[],0,0
IT003379,[],0,0
IT003380,[],0,0
IT003375,[],0,0
IT003376,[],0,0
IT003377,[],0,0
IT015844,[],0,0
IT004273,[],0,0
IT016242,[],0,0
IT010649,[],0,0
IT011388,[],0,0
IT010571,[],0,0
IT010508,[],0,0
IT011713,[],0,0
IT010509,[],0,0
IT010510,[],0,0
IT000114,[],0,0
IT005015,[],0,0
IT001082,[],0,0
IT001081,[],0,0
IT003057,[],0,0
IT003053,[],0,0
IT003054,[],0,0
IT003055,[],0,0
IT003056,[],0,0
IT003081,[],0,0
IT000540,[],0,0
IT000533,[],0,0
IT003083,[],0,0
IT003085,[],0,0
IT003230,[],0,0
IT000546,[],0,0
IT000536,[],0,0
IT003086,[],0,0
IT001038,[],0,0
IT000441,[],0,0
IT000918,[],0,0
IT000912,[],0,0
IT000535,[],0,0
IT003080,[],0,0
IT000547,[],0,0
IT000538,[],0,0
IT003082,[],0,0
IT000552,[],0,0
IT000550,[],0,0
IT001027,[],0,0
IT000755,[],0,0
IT000752,[],0,0
IT000747,[],0,0
IT000735,[],0,0
IT000737,[],0,0
IT000754,[],0,0
IT000746,[],0,0
IT000764,[],0,0
IT000757,[],0,0
IT000742,[],0,0
IT000744,[],0,0
IT010288,[],0,0
IT010289,[],0,0
IT013556,[],0,0
IT010336,[],0,0
IT013558,[],0,0
IT003228,[],0,0
IT010334,[],0,0
IT010346,[],0,0
IT010345,[],0,0
IT010951,[],0,0
IT010947,[],0,0
IT006755,[],0,0
IT006754,[],0,0
IT010310,[],0,0
IT010382,[],0,0
IT010311,[],0,0
IT010300,[],0,0
IT010301,[],0,0
IT003360,[],0,0
IT003388,[],0,0
IT003389,[],0,0
IT010332,[],0,0
IT010286,[],0,0
IT010287,[],0,0
IT015221,[],0,0
IT010291,[],0,0
IT010343,[],0,0
IT015211,[],0,0
IT010331,[],0,0
IT016283,[],0,0
IT016282,[],0,0
IT016284,[],0,0
IT010451,[],0,0
IT016277,[],0,0
IT016285,[],0,0
IT016278,[],0,0
IT016281,[],0,0
IT010299,[],0,0
IT013561,[],0,0
IT010309,[],0,0
IT003842,[],0,0
IT015528,[],0,0
IT016279,[],0,0
IT016280,[],0,0
IT010496,[],0,0
IT010497,[],0,0
IT003848,[],0,0
IT007337,[],0,0
IT007236,[],0,0
IT007341,[],0,0
IT007339,[],0,0
IT016518,[],0,0
IT007338,[],0,0
IT007342,[],0,0
IT003844,[],0,0
IT007051,[],0,0
IT016517,[],0,0
