id,original_price,sell_price,stocks,variations_types,size
107800,199,192,0,[],0
107803,215,205,860,[],0
108249,380,346,0,[],0
112292,1015,1314,11,[],0
113710,149,136,407,[],0
113712,149,136,0,[],0
113817,130,119,0,[],0
118009,399,335,262,[],0
118156,410,374,91,[],0
118382,499,460,90,[],0
118412,375,342,31,[],0
118417,160,146,12,[],0
118419,160,146,0,[],0
118443,270,246,0,[],0
118518,435,428,1327,[],0
118544,120,110,0,[],0
118572,785,770,88,[],0
118606,120,110,0,[],0
118774,89,88,0,[],0
118967,252,217,579,[],0
119665,216,219,7422,[],0
119705,170,167,56,[],0
119709,150,152,117,[],0
119711,165,167,447,[],0
120018,300,258,165,[],0
122350,175,172,0,[],0
122620,185,187,244,[],0
122644,220,226,99,[],0
122650,170,167,0,[],0
123659,55,54,0,[],0
124656,278,269,100,[],0
124657,500,438,194,[],0
124870,155,162,198,[],0
124871,150,157,82,[],0
125546,515,509,190,[],0
126153,930,1003,4,[],0
126158,1170,1302,24,[],0
126903,278,274,80,[],0
126906,499,475,480,[],0
127362,130,152,55,[],0
128462,108,106,72,[],0
128596,461,477,271,[],0
130138,1320,1084,1,[],0
130307,1320,1187,6,[],0
133571,240,219,77,[],0
134006,1075,1047,21,[],0
134149,36,34,1653,[],0
135463,125,114,0,[],0
137385,200,182,4,[],0
137575,460,451,118,[],0
137623,72,66,0,[],0
137936,800,760,229,[],0
138461,240,176,183,[],0
140448,360,328,0,[],0
140466,300,273,25,[],0
140873,308,293,0,[],0
140989,304,204,0,[],0
142156,270,257,106,[],0
144126,100,114,876,[],0
144395,240,219,893,[],0
145130,1344,1277,0,[],0
146378,95,77,228,[],0
146384,87,75,231,[],0
146514,320,301,120,[],0
146775,145,143,177,[],0
146778,130,128,0,[],0
147283,64,56,192,[],0
147491,230,219,1032,[],0
147492,425,480,2,[],0
147493,1090,992,0,[],0
147737,955,910,49,[],0
147738,955,910,48,[],0
147739,955,910,52,[],0
148392,20,19,0,[],0
148676,200,241,68,[],0
148681,322,339,122,[],0
148682,163,166,273,[],0
149353,115,105,795,[],0
149354,115,105,2332,[],0
149829,60,64,25,[],0
150476,100,91,23,[],0
151059,765,808,52,[],0
152075,1380,1218,3,[],0
152329,440,420,153,[],0
152450,147,148,208,[],0
153122,120,110,0,[],0
154171,480,437,438,[],0
154902,230,219,18,[],0
156639,175,134,0,[],0
157375,245,228,1292,[],0
157419,215,211,0,[],0
159705,330,310,16,[],0
159713,320,292,0,[],0
161622,450,410,0,[],0
161623,450,410,4,[],0
161826,109,114,530,[],0
161897,95,112,151,[],0
161898,20,24,349,[],0
161899,12,12,0,[],0
163055,110,81,30,[],0
163056,153,138,69,[],0
163064,50,41,51,[],0
163575,55,53,313,[],0
163578,184,181,86,[],0
163582,140,142,342,[],0
163584,254,242,189,[],0
163810,312,284,0,[],0
163920,150,137,0,[],0
163921,150,137,0,[],0
165939,199,227,21,[],0
167738,955,936,0,[],0
167781,205,187,132,[],0
167782,205,187,0,[],0
167814,120,110,0,[],0
167976,699,587,207,[],0
168946,75,69,10,[],0
168949,65,60,0,[],0
168950,90,82,0,[],0
169000,508,341,0,[],0
169052,32,28,1157,[],0
169053,64,56,132,[],0
169054,42,35,1832,[],0
169055,35,29,620,[],0
169166,200,196,0,[],0
169309,70,64,0,[],0
169409,1075,925,21,[],0
169426,46,38,0,[],0
169899,50,49,261,[],0
170693,420,307,0,[],0
170695,230,198,0,[],0
170777,290,264,0,[],0
171651,183,167,0,[],0
172206,165,151,0,[],0
172260,160,146,0,[],0
172917,109,94,0,[],0
174253,75,69,22,[],0
174367,70,69,37,[],0
174549,360,342,0,[],0
174626,345,328,0,[],0
174631,170,151,210,[],0
174635,240,260,161,[],0
174636,160,155,164,[],0
175116,145,143,9,[],0
175118,145,143,222,[],0
175257,15,15,0,[],0
175374,432,394,0,[],0
176362,325,319,241,[],0
176364,275,270,10,[],0
177140,435,396,0,[],0
177144,245,223,0,[],0
177150,285,273,0,[],0
177155,245,223,42,[],0
177181,200,182,0,[],0
177259,270,246,0,[],0
177307,399,364,0,[],0
177319,145,132,0,[],0
179161,100,91,0,[],0
179650,355,324,0,[],0
179651,355,324,0,[],0
180199,50,41,199,[],0
180512,240,176,0,[],0
180537,120,114,330,[],0
180584,50,49,34,[],0
180961,440,401,513,[],0
