id,name,original_price,sell_price,variations_types,stocks,size
368287,Fig Fruit (Packed-9 Pcs),44,40,[],0,0
405143,Galangal (Thai Ginger) 100 g,44,40,[],0,0
250511,Garlic 500 g (Packed),70,63,[],100,0
277860,Garlic Peeled (pack) 200 g,75,50,[],100,0
250591,Ginger Loose,39,35,500,100,1
279433,Grape Fruit Imported,275,250,1000|500|2000,100,1
SB0040,Grapes Black Seedless (Packed 1 kg),182,165,[],0,0
250200,Grapes Green Seedless (Packed 1 kg),105,95,[],0,0
250205,Grapes Red Globe - Indian,171,155,[],0,0
250490,Green Peas,143,130,1000|500|250,0,1
250219,Guava,83,75,1000|500|2000,0,1
250667,Herbs - Basil,149,135,1000|500|250,0,1
340409,Kids Apple(1kg Packed),93,84,1000|2000,0,1
298938,Kiwi (per piece),22,20,[],100,0
250930,Knol - Khol,39,35,1000|500|2000,100,1
250658,Leeks,165,150,1000|500|2000,0,1
261478,Lemon,88,80,1000|500|250,100,1
405202,Lemon Garss,143,130,1000|500|2000,0,1
250645,Lettuce - Green,165,150,1000|500|2000,100,1
250647,Lettuce - Iceberg,138,125,1000|500|2000,100,1
250231,Mango - Banganapalli,77,70,1000|500|2000,0,1
SB0041,Mango Alphonso,259,235,[],0,0
SB0043,Mango Baneshan,198,180,1000|500|2000,0,1
SB0042,Mango Mulgoba,182,165,1000|500|2000,0,1
250383,Mango Raw,72,65,1000|500|2000,0,1
SB0039,Mango Senduran,66,60,1000|500|250,0,1
250406,Mango Totapuri,165,150,1000|500|2000,0,1
250683,Methi leaves Bunch (each)(Appox: 400g - 470 g),25,22,[],100,0
250685,Mint leaves Bunch (each)(Appox:250g - 300g),22,20,[],100,0
249877,Mosambi,50,45,1000|500|2000,100,1
368136,Mushroom Button  (Packed-200 g),55,45,[],100,0
249965,Musk Melon (Appox: 1.25 kg/each),65,59,[],100,0
250505,Onion(2kg Packed),66,60,[],100,0
250507,Onion Sambar,88,80,[],100,0
277862,Onion Sambar Peeled 200 g (Packed),49,44,[],0,0
249882,Orange Nagpur,54,49,1000|500|2000,100,1
249885,Orange navel,115,104,1000|500|2000,0,1
249889,Orange Valecia,193,175,1000|500|2000,100,1
357258,Oyster Mushroom (Packed-200g),54,49,[],0,0
250662,Pak Choy,121,110,1000|500|2000,0,1
250687,Palak Leaves Bunch (each)(Appox:400g -450g),29,26,[],100,0
250222,Papaya (Appox: 1.5 kg/each),43,39,[],100,0
368197,Parval 500 g (Packed),66,60,[],0,0
250133,Pear - Green Anjou,308,280,1000|500|2000,0,1
250145,Pear - Red Anjou,358,325,1000|500|2000,0,1
350478,Persimon,512,465,1000|500|2000,0,1
250095,Pineapple  (Appox:1.3 kg/each),61,55,[],100,0
253355,Plums Imported,319,290,1000|500|2000,100,1
250174,Pomegranate - Kabul,193,175,1000|500|2000,100,1
250528,Potato (1 kg Packed),29,26,[],100,0
250604,Pumpkin - Sweet (Appox : 3.5 kg/each),66,60,[],0,0
250538,Radish - Red,116,105,1000|500|250,0,1
250539,Radish-White,28,25,1000|500|250,100,1
250607,Ridge - Gourd,44,40,1000|500|2000,100,1
250223,Sapota (Chikoo),94,85,1000|500|2000,100,1
250608,Snake Gourd,11,10,1000|500|2000,100,1
250689,Spring Onion Leaves Bunch (Appox: 450 g - 500g),31,28,[],100,0
307012,Sprouts Channa-200g,40,40,[],100,0
307011,Sprouts Green Gram-200g,37,33,[],0,0
307009,Sprouts Horse Gram-200g,40,33,[],100,0
307010,Sprouts Mixed-200g,33,30,[],0,0
317850,Strawberry (Packed - 18 Pcs),105,95,[],0,0
277865,Sweet corn EA,50,45,1000|500|2000,0,1
368273,Sweet Tamrind -250 g Packed,150,95,[],100,0
250531,Sweetpotato,72,65,1000|500|250,100,1
250609,Tapioca,55,50,1000|500|2000,100,1
261662,Tender Coconut,50,45,[],0,0
350486,Thai Guava,109,99,1000|500|2000,0,1
250417,Tomato - Country,22,20,1000|500|2000,100,1
250437,Tomato - Hybrid,24,21,500|1000|2000,100,1
250631,Tomato Cherry Red,165,150,1000|500|2000,0,1
405186,Trikaya  Thai Bird Chilli 20g,17,15,[],100,0
405141,"Trikaya American Kale - Curled Leaves, 250g Pack",94,85,[],0,0
405155,Trikaya Basil Italian 10G Pack,13,11,[],100,0
405146,Trikaya Chinese Gailon Broccoli 250 g,54,49,[],0,0
405156,Trikaya Chives 10G,13,12,[],100,0
405140,Trikaya Greens - Swiss Chard Multi Coloured 250g Pack,55,50,[],0,0
405149,"Trikaya Lettuce - Lollo Rosso, 250g Pack",37,33,[],0,0
405147,Trikaya Lettuce Iceberg 250G,33,30,[],0,0
405138,Trikaya Lettuce Rom Green 250G,37,33,[],0,0
405158,Trikaya Oregano Leaves 10g Pack,13,12,[],100,0
405194,"Trikaya Pak Choi - Baby, 250g Pack",61,55,[],0,0
405154,Trikaya Roquette/Arugula 100G,61,55,[],0,0
405161,Trikaya Rosemary 50G,20,18,[],0,0
405162,Trikaya Sage 10G,19,17,[],0,0
405193,Trikaya Spinach Baby 100G,72,65,[],0,0
405163,Trikaya Sweet Marjoram 10G,20,18,[],0,0
405215,Trikaya Tarragon 10G,13,13,[],100,0
405190,"Trikaya Thai - Mix, 125g Pack",94,85,[],0,0
405216,Trikaya Thyme 10G,13,12,[],100,0
250659,Turnip,116,105,1000|500|2000,0,1
250077,Water - Melon Kiran(Appox: 2 kg To 2.5 kg/each),55,50,[],100,0
SB0037,Water Melon Green (Appox: 4 kg/each),94,85,[],0,0
SB0038,Water melon Yellow (Appox: 2 kg/each),105,95,[],0,0
250611,Yam (Per Piece) (Appox: 2 kg/each),91,83,[],100,0
250664,Zucchini - Green,165,150,1000|500|2000,0,1
250665,Zucchini - Yellow,165,150,1000|500|2000,0,1
102582,Broiler Chicken Breast,689,475,1000|2000|3000,0,1
102587,Broiler Chicken legs-Boneless,492,339,1000|2000|3000,0,1
102590,Broiler Chicken Wings With Skin,241,219,1000|2000|3000,100,1
102592,Broiler Chicken Drumstick-Without skin,318,289,1000|2000|3000,100,1
102615,Broiler Chicken With Skin,304,209,[],0,0
106220,Fresh Mackerel Large Fish,362,249,1000|2000|3000,0,1
106224,Fresh White Pomfret-Medium,989,899,1000|2000|3000,100,1
106227,Fresh Black Pomfret-Medium,846,769,1000|2000|3000,100,1
106244,Fresh Indian Salmon Large Fish,879,799,1000|2000|3000,100,1
106271,Pink Perch Fresh,483,439,1000|2000|3000,100,1
106367,Fresh White Prwans-Medium,483,439,1000|2000|3000,100,1
107443,Fresh Catla Fish,214,194,1000|2000|3000,100,1
107449,Fresh Large Rohu,182,165,1000|2000|3000,100,1
107558,Fresh Tilapia Fish,260,179,1000|2000|3000,0,1
128069,Broiler Chicken Pieces-Without skin,363,250,1000|2000|3000,0,1
128327,Broiler Chicken Without Skin 1 NO/KG,230,209,[],100,0
134262,Fresh Seer fish-Small,604,549,1000|2000|3000,100,1
146675,Mutton Paya-6 Pieces,702,484,[],0,0
246792,Fresh Roopchand Fish,219,199,1000|2000|3000,100,1
270201,Chicken Tandoori Without Skin,469,323,1000|2000|3000,0,1
319569,Boiler Chicken Curry cut without skin,319,220,[],0,0
319957,Broiler Chicken Breast-Boneless,373,339,1000|2000|3000,100,1
326807,Mutton Leg,1108,764,1000|2000|3000,0,1
326808,Mutto Chops,736,669,1000|2000|3000,100,1
326809,Mutton Biryani Pieces,692,629,1000|2000|3000,100,1
326812,Mutton Soup Pieces (Nalli),186,128,[],0,0
326815,Mutton leg-Boneless,1413,974,1000|2000|3000,0,1
334392,Boiler chicken Lollypop,329,299,1000|2000|3000,100,1
SB0064,Mutton Mince,1413,974,1000|2000|3000,0,1
SB0065,Chicken Mince,515,355,1000|2000|3000,0,1
SB0066,Mutton Boneless,1413,974,1000|2000|3000,0,1
SB0067,Mutton Curry cut,956,659,1000|2000|3000,0,1
271205,Id Idli  Dosa Batter 1 kg,75,67,[],100,0
294904,Id Idli and Dosa Batter 2 kg,119,119,[],0,0
409904,"Asal Ready to Use Batter - Idly and Dosa , 1kg Pouch",70,63,[],0,0
409905,"ASAL Batter - Idly and Dosa, 2kg Pouch",110,99,[],100,0
410617,"ID Fresh Food Whole Wheat Chapati, 400g",70,63,[],100,0
421398,"Hasiru Batter - Dosa, 1kg Pouch",69,62,[],0,0
421399,"Hasiru Batter - Millet Dosa, 1kg Pouch",99,99,[],0,0
421400,Hasiru Manglore Idli Batter 1 Kg,85,85,[],0,0
423837,"iD Wheat Parota, 450g",120,80,[],100,0
423838,"iD Fresh Malabar Parota, 450g",120,81,[],100,0
