id,cate_id,sub_cate_id
397664,7,50
398909,7,50
398911,7,51
399059,7,20
399060,7,51
399061,7,51
399357,7,50
399709,7,20
400006,7,50
400008,7,20
400458,7,51
400461,7,51
401090,7,51
401454,7,52
402096,7,50
402097,7,50
402098,7,50
402187,7,50
402461,7,52
402987,7,51
402989,7,114
402990,7,114
402991,7,114
402992,7,114
402996,7,20
404109,7,20
404482,7,50
404483,7,50
404486,7,20
404795,7,20
404840,7,20
404844,7,20
404846,7,20
405232,7,50
405307,7,114
405873,7,50
406004,7,20
408176,7,20
408701,7,51
408702,7,51
408704,7,50
408705,7,50
409639,7,50
409649,7,51
409710,7,20
409715,7,20
410298,7,20
410300,7,20
410315,7,51
410851,7,63
411019,7,51
411628,7,20
411629,7,20
411965,7,114
411969,7,114
412272,7,20
412318,7,50
413228,7,20
413314,7,51
413731,7,50
413732,7,50
413910,7,50
413911,7,50
413912,7,50
413913,7,50
413914,7,50
413915,7,50
413926,7,20
413967,7,50
413970,7,50
414045,7,20
414112,7,20
414847,7,20
414848,7,20
415114,7,53
415138,7,53
415311,7,20
415316,7,20
415317,7,51
415569,7,51
415749,7,114
415752,7,51
415760,7,20
415761,7,20
415762,7,20
415764,7,20
416447,7,51
416645,7,50
417965,7,20
418073,7,20
422302,7,114
423585,7,20
