id,original_price,sell_price,variations_types,in_stoke
392845,90,72,[],1
392846,80,64,[],1
392847,2000,1430,[],1
392848,850,683,[],1
392853,2000,1342,[],1
392854,175,146,[],1
392856,90,75,[],1
392863,175,161,[],1
392867,750,624,[],1
392991,600,481,[],1
393037,175,142,[],1
393039,175,128,[],1
393045,90,75,[],1
393329,60,59,[],0
395229,137,121,[],1
395838,149,142,[],1
396317,1200,974,[],1
396318,1350,1234,[],0
398711,60,49,[],1
398712,300,246,[],1
398761,285,220,[],1
399491,55,42,[],1
399492,240,194,[],1
399493,460,360,[],1
399496,25,25,[],1
399522,75,62,[],1
399533,75,53,[],1
399820,125,116,[],1
400020,99,96,[],1
400021,99,96,[],1
400392,10,10,[],1
401468,100,99,[],0
401476,80,65,[],1
401672,999,653,[],1
401675,120,98,[],1
401677,550,469,[],1
401683,500,403,[],1
401777,160,129,[],1
401778,80,66,[],1
402044,160,154,[],1
402701,1400,1366,[],0
402705,40,40,[],0
402706,65,65,[],0
402707,1400,1400,[],0
402715,40,33,[],1
402727,194,189,[],1
402729,490,477,[],1
402730,99,98,[],1
402731,120,117,[],1
402732,80,78,[],1
402733,66,65,[],1
402734,75,74,[],1
402735,248,242,[],1
402738,60,59,[],1
402741,97,96,[],1
402743,98,98,[],0
402745,68,65,[],1
402746,292,285,[],1
402748,56,54,[],1
403285,30,30,[],1
403545,125,112,[],1
403553,99,73,[],1
403555,209,150,[],1
403556,189,143,[],1
403557,925,675,[],1
403558,569,463,[],1
403559,115,94,[],1
403560,169,132,[],1
403964,169,165,[],1
403966,115,113,[],1
404010,145,141,[],1
404011,360,349,[],1
404156,65,63,[],1
404157,75,72,[],1
404193,69,67,[],1
404194,55,54,[],1
404195,20,20,[],1
404196,20,20,[],1
404197,20,20,[],1
404198,20,20,[],1
404214,20,20,[],1
404216,20,20,[],1
404221,20,20,[],1
404345,370,285,[],1
404347,260,207,[],1
404349,35,25,[],1
404353,190,143,[],1
404428,280,198,[],1
404431,495,495,[],0
404434,470,391,[],1
404437,355,355,[],0
404444,430,420,[],0
404459,800,580,[],1
404653,60,52,[],1
404654,35,28,[],1
404656,500,400,[],1
404657,50,39,[],1
404658,50,41,[],1
404659,55,45,[],1
406865,585,479,[],1
407907,160,156,[],1
407908,120,116,[],1
407930,120,116,[],1
407931,120,116,[],1
407941,120,117,[],1
407953,140,137,[],1
407991,170,137,[],1
408958,75,73,[],1
408961,35,35,[],1
409195,18,15,[],1
409258,99,78,[],1
409271,80,76,[],1
409272,175,167,[],1
409285,445,371,[],1
410516,230,214,[],1
410567,799,799,[],1
410645,70,67,[],1
410702,120,95,[],1
410703,260,163,[],1
410914,30,30,[],1
411235,380,369,[],1
411239,137,129,[],1
411241,60,55,[],1
411243,49,46,[],1
411250,40,37,[],1
411251,53,49,[],1
411255,10,10,[],1
411258,60,59,[],1
411266,50,47,[],1
411814,219,214,[],1
412413,48,44,[],1
412414,25,24,[],1
412415,48,44,[],1
412579,520,504,[],1
412849,560,531,[],1
413075,365,336,[],1
413076,365,336,[],1
413079,245,226,[],1
413080,175,161,[],1
413557,17,17,[],1
413582,25,24,[],1
413754,600,518,[],1
413762,200,200,[],0
413784,200,150,[],1
414139,70,70,[],0
414420,40,38,[],1
414427,100,95,[],1
414686,40,39,[],1
415161,515,410,[],1
415162,109,92,[],1
416207,80,78,[],1
416255,40,39,[],1
416270,40,39,[],1
416282,40,39,[],1
416316,25,24,[],1
416317,20,20,[],1
416624,39,38,[],1
416625,42,42,[],1
416631,44,44,[],1
416633,33,33,[],1
416908,45,43,[],1
416928,175,168,[],1
416929,349,341,[],1
418694,30,27,[],1
418817,100,93,[],1
418990,70,38,[],1
419419,100,97,[],1
419570,155,151,[],1
419772,250,147,[],0
419777,150,121,[],0
420226,100,95,[],1
420338,20,20,[],1
420381,80,76,[],1
420382,175,167,[],1
420434,499,414,[],0
420436,349,314,[],0
420439,299,267,[],0
420441,699,639,[],0
420443,225,219,[],0
420444,299,273,[],0
420446,199,158,[],0
420447,199,127,[],0
420450,299,183,[],0
420597,40,39,[],1
214217,520,459,[],1
421989,40,39,[],1
422139,35,34,[],1
422652,25,25,[],1
422655,28,28,[],1
422858,290,282,[],1
422859,155,151,[],1
423710,30,30,[],1
423711,30,30,[],1
423712,30,30,[],1
SB0003,39,38,[],0
SB0025,45,43,[],0
SB0036,131,129,[],0
104582,453,440,[],1
104607,204,198,[],1
104615,114,112,[],1
104617,431,419,[],1
104707,68,67,[],1
104708,75,74,[],1
104726,197,192,[],1
104759,71,70,[],1
104808,122,119,[],1
104821,85,83,[],1
104823,85,83,[],1
104833,100,97,[],1
104837,115,113,[],1
104839,115,113,[],1
104840,100,97,[],1
104860,48,47,[],1
104862,7050,6731,[],1
104864,235,229,[],1
104956,90,88,[],1
