id,original_price,sell_price,variations_types,stocks
393037,175,149,[],107
393039,175,123,[],108
393045,90,77,[],157
393327,90,83,[],45
393328,115,106,[],52
393338,160,148,[],49
393342,70,65,[],109
393346,115,106,[],50
393350,70,65,[],0
393351,210,194,[],0
393377,250,230,[],0
394410,38,27,[],0
397472,34,29,[],253
397473,50,35,[],44
397475,77,66,[],0
397476,70,60,[],51
397477,85,73,[],0
397495,70,60,[],42
397501,34,24,[],126
397506,78,55,[],53
399491,55,39,[],144
399492,255,179,[],0
399493,460,368,[],56
399496,25,25,[],0
399522,75,53,[],328
399533,75,42,[],1165
400020,99,96,[],0
400021,99,96,[],0
401468,100,92,[],0
401476,80,64,[],0
401777,160,136,[],0
401778,80,68,[],0
402044,160,154,[],83
402701,1400,1190,[],0
402705,40,28,[],0
402706,65,56,[],0
402707,1400,1288,[],0
402715,40,28,[],0
402727,194,179,[],564
402731,120,111,[],26
402732,80,74,[],0
402734,75,69,[],0
402735,260,240,[],203
402738,60,56,[],46
402743,98,95,[],0
402745,68,66,[],157
402748,46,45,[],0
404193,69,67,[],220
404194,55,51,[],211
404195,20,20,[],396
404196,20,20,[],375
404197,20,19,[],471
404198,20,20,[],77
404214,20,20,[],246
404216,20,19,[],423
404221,20,20,[],401
404345,370,222,[],465
404347,260,208,[],340
404349,35,21,[],277
404353,190,133,[],438
404428,280,168,[],298
404431,495,297,[],184
404434,470,400,[],60
404437,355,302,[],0
404444,430,301,[],112
404459,800,560,[],140
404653,60,51,[],300
404654,35,28,[],448
404656,700,385,[],28
404657,50,35,[],772
404658,50,43,[],400
404659,55,44,[],907
407907,160,148,[],0
407908,120,116,[],0
407930,120,116,[],0
407931,72,67,[],0
407941,65,60,[],0
407953,140,129,[],0
409057,250,213,[],27
409058,225,203,[],0
409258,99,80,[],193
410516,260,221,[],407
410702,120,96,[],275
410703,260,143,[],486
411239,137,127,[],201
411241,60,54,[],0
411243,49,45,[],0
411250,40,36,[],80
411251,53,38,[],0
