id,kind
10733,-1
10734,-1
10755,-1
10756,-1
11545,-1
11566,-1
11567,-1
11569,-1
11605,-1
11607,-1
11651,-1
11653,-1
11654,-1
11655,-1
11730,-1
12001,-1
20375,-1
11052,-1
10276,-1
20223,-1
20229,-1
20230,-1
20231,-1
20232,-1
20235,-1
20236,-1
20238,-1
20239,-1
20240,-1
20242,-1
20247,-1
20249,-1
20250,-1
20355,-1
20359,-1
20429,-1
20454,-1
20457,-1
20459,-1
20504,-1
20513,-1
20551,-1
20552,-1
20651,-1
20652,-1
20654,-1
29124,-1
11656,-1
20330,-1
11652,-1
30602,-1
30603,-1
30604,-1
30610,-1
30709,-1
30711,-1
30713,-1
30715,-1
30720,-1
30727,-1
30729,-1
30731,-1
30732,-1
30837,-1
30843,-1
30845,-1
35036,-1
35039,-1
35044,-1
36022,-1
36023,-1
36024,-1
36301,-1
36304,-1
36314,-1
36316,-1
36318,-1
36717,-1
36718,-1
36720,-1
36753,-1
36775,-1
36778,-1
36779,-1
36789,-1
36800,-1
36802,-1
36804,-1
36805,-1
36806,-1
36807,-1
36818,-1
36819,-1
36820,-1
36821,-1
36824,-1
36826,-1
37067,-1
37068,-1
12105,-1
40000,-1
40003,-1
40053,-1
40054,-1
40066,-1
40068,-1
40073,-1
40077,-1
40078,-1
40081,-1
40082,-1
40088,-1
40089,-1
40090,-1
40091,-1
40150,-1
40158,-1
40166,-1
40170,-1
40173,-1
40177,-1
40184,-1
40185,-1
40186,-1
40187,-1
40205,-1
40271,-1
40274,-1
40278,-1
40289,-1
40356,-1
41015,-1
41115,-1
41266,-1
41268,-1
41269,-1
41271,-1
41281,-1
41282,-1
41286,-1
41576,-1
41584,-1
41704,-1
41705,-1
41760,-1
41764,-1
42202,-1
42205,-1
42214,-1
42218,-1
42275,-1
43024,-1
43038,-1
11657,-1
11604,-1
10020,-1
60478,-1
10207,-1
10037,-1
35045,-1
36406,-1
36407,-1
30712,-1
10902,-1
30956,-1
30716,-1
20307,-1
20327,-1
36331,-1
30733,-1
