id,original_price,sell_price,variations_types,in_stoke
KNZES10B1PDBM,990,678,[],1
KNZES10R1PDBM,990,678,[],1
KNZES10T1PDBM,990,678,[],1
KTG02KGPDBH,1270,969,[],1
KTY02KSSDBH,1270,1016,[],1
LIVE 200BT,5299,4450,[],1
Live 400BT,7899,7151,[],0
Live 650BT,12599,11890,[],0
LTG-1,1499,969,[],0
LTG-2,1999,1463,[],1
MAR-002,12999,11699,[],0
MAR-003,29999,26999,[],0
MAR-004,37999,34200,[],0
MAR-005,39999,36000,[],0
MAR-006,49999,44999,[],0
MDR-AS210,890,890,[],1
MDR-AS210AP,1290,1290,[],1
MDR-AS410AP,1990,1842,[],1
MDR-EX15AP,890,890,[],1
MDR-EX255AP,1990,1842,[],1
MDR-XB450,2190,2112,[],0
MDR-XB450AP,2490,2367,[],1
MDR-XB510AS,2790,2522,[],1
MDR-XB550AP,3290,3080,[],0
MDR-XB55AP,2490,2267,[],1
MDR-XB75AP,3990,3611,[],0
MDR-ZX110,990,990,[],1
MDR-ZX110AP,1490,1490,[],1
MESM500W,22399,20160,[],0
MESM731M,23999,21525,[],0
MG - 149,4865,4366,[],1
MG - 218,9455,8839,[],0
MG2853,3590,3190,[],1
MGM4341RIN,6199,5560,[],0
MGM6642WIN,8499,6860,[],1
MGM8842MIN,9149,8195,[],1
MMS2200B,10990,10429,[],0
MMS2220B,15990,13488,[],1
MMS2580B,4749,4330,[],0
MMS2625B,4990,3960,[],1
MMS6080B,6490,5290,[],1
MMS8085B,8990,8339,[],1
MOKM20GSCNMGZ,8990,6711,[],0
MR-1,799,340,[],1
MSM67190,8499,7623,[],0
NATLOXY,2499,1110,[],1
Party-Pal-20,5490,2855,[],0
PC3Chat,1499,1499,[],0
PC8USB,2990,2767,[],0
PGN031,1795,1717,[],1
PGN047,1195,987,[],0
PGN049,1395,894,[],0
PGN065,520,448,[],0
PGN067,11990,7565,[],0
PGN078,4695,3094,[],0
PGN084,19000,12430,[],0
PGN086,4930,4160,[],1
PGN104,3595,2107,[],0
PGN106,895,691,[],0
PGN107,1075,800,[],0
PGN114,1245,853,[],0
PGN124,2595,1731,[],0
PGN126,4845,2815,[],0
PIG12136,795,673,[],0
PIG12331,595,573,[],0
PIG12333,1195,934,[],0
PIG12382,5195,4495,[],1
PIG12424,1195,934,[],0
PIG12425,1180,924,[],0
PIG12453,1395,1064,[],0
PIG12584,795,673,[],0
PIG298,810,724,[],0
PRO6105BK,1899,1526,[],1
PSM-1,499,438,[],1
PW-18,2499,1691,[],0
QC3-2,999,752,[],1
QC3-3,1299,997,[],0
Rockerz 610,3990,2910,[],1
RUG-1,3990,1999,[],1
RUN BT,3199,2960,[],0
S1 Pro,24990,20776,[],0
SCF870,7955,6955,[],1
SDCFE-064G-GN4IN,23000,15948,[],1
SDCFE-128G-GN4IN,38500,24621,[],1
SDCFSP-064G-G46D,28500,15445,[],1
SDCFSP-128G-G46D,48000,25550,[],1
SDCFSP-256G-G46D,60000,40883,[],1
SDCFSP-512G-G46D,85000,73896,[],1
