id,tags
387351,13881|13882|13884|13891|13892|13898
387361,13170|13197|13239|13286
388088,13170|13193|13240|13307
388437,13003|13017|14098
390054,13927|4906|4918|4977|4978
391298,13170|13197|13920|13901|13287|13925
391299,13170|13197|13922|13901|13287|13925
391369,13170|13194|4925|13342|4878
392009,13881|13882|13887|13891|13892|13897
392164,13170|13197|13911|13901|13287|13924|13290|56354
392741,13170|13193|434|5003
392742,13170|13193|434|5003
392746,13170|13193|13201|13113
392753,13170|13193|434|321
392760,13170|13193|13201|13323|13634
392769,13170|13193|13201|13275
392773,13170|13193|13201|13318
392782,13170|13193|13201|13278
392808,13170|13193|13201|13278
392809,13170|13193|13201|13278|13279|13280
392826,13170|13193|13201|13097
392833,13170|13193|13201|13630|13146
392957,13881|13882|13888|13891|13892|13896
393304,13927|4876|748|641
393327,13170|13193|13624|13628
393328,13170|13193|13624|13275
393332,13170|13197|13624|13287
393336,13170|13197|13624|13287|13631
393338,13170|13195|13624|13628
393342,13170|13169|13624|13282
393346,13170|13193|13624|13280
393350,13170|13195|13624|13628
393351,13170|13195|13624|13138
393377,13170|13193|13624|13281
393593,13170|13197|4897|13901|13287|13290
394410,13170|13195|13234|13628
394867,13927|4906|4849|14042
394868,13927|4906|4935|4994
394869,13927|4906|4849|4994
394936,13927|4906|4849|4993
395301,13438|13440|13479|13645
395894,13927|4905|4946|5007
396516,13150|5391|5392|5166|5174|5170
396517,13150|5391|5392|5166|5172|5170
396518,13150|5391|5392|5166|5170
396520,13150|5391|5392|5166|5170
396521,13150|5188|5166|5166|5189|5170
396831,13150|5188|13560|13560|5189|5170
396927,13881|13882|13887|13891|13892|13896
396929,13881|13882|13887|13891|13892|13895
396932,13881|13882|13887|13891|13892|13897
397129,13150|5391|5392|5393|13821|5170
397133,13150|5391|5392|1422|13588|5174|5170
397472,13170|13195|13240|13628
397473,13170|13195|13240|13628
397475,13170|13195|13240|13628
397476,13170|13195|13240|13628
397477,13170|13195|13240|13628
397486,13695|4859|13988|4963|4964|62781
397495,13170|13195|13240|13628
397501,13170|13195|13240|13628
397506,13170|13195|13240|13628
397554,13150|13536|4855|5005
397830,13150|13152|4913|13875
397831,13150|13152|4913|13875
397833,13150|13152|4913|13875
398000,13438|13442|13500|13518
398284,13244|13367|5004|5074|5075
398321,13244|13367|400|5074|5075
398323,13244|13367|5149|5074|5075
398325,13244|13367|5149|5074|5075
398436,13003|13017|14098
398526,13881|13882|13887|13891|13892|13896
398591,13927|4905|4946|5007
398595,13927|4905|4946|5007
398596,13927|4905|4946|5007
398686,13170|13194|945|13342|4878
398762,13170|13194|5001|945|1821
399093,13244|13367|400|5074|5075
399095,13244|13367|400|5074|5075
399099,13244|13367|400|5074|5075
399375,13438|13444|13220|13515|13516|89249
399397,13438|13441|13642|13515|13516|13514
399502,13170|13197|13917|13901|13287|13925
399514,13170|13197|4898|13901|13287|13925
399517,13170|13193|5160
399523,13170|13169|14106|248
399538,13927|4905|4942|4962
399817,13170|13194|4925|889|4949
400022,13170|13195|5155|962|5011
400023,13170|13195|5155|962|5137
400024,13170|13195|5155|962|5013
400026,13170|13195|5155|962|291
400027,13170|13195|5155|962|5019
400029,13170|13195|5155|962|5138
400030,13170|13195|5155|962|5139
400043,13170|13169|434|4996
400282,13438|13444|13491|13515|13516
400692CB,13695|13699|13852|13753
400827,13438|13439|13462|13519|13520
400829,13438|13439|13462|13519|13520
400936,13881|13882|13887|13891|13892|13895
401465,13170|13169|5145|4996
401466,13170|13169|5145|4998
401470,13170|13169|5145|4996
401669,13170|13197|13239|13286
401682,13170|13197|13239|13286
401857,4861|4862|4866|4870|4871|51409
402508,13150|13182|13594|13677
402509,13150|13182|13594|13679
402511,13150|13182|13594|13676
402515,13438|13439|13640|13519|13520
402516,13438|13439|13640|13519|13520
402518,13438|13439|13640|13519|13520
402644,13695|13700|13708|13715
402957,13150|13182|13717|13716
403547,13170|13197|13215|13286
403627,13150|13534|13587|13534|13368|13669
403983,13244|13245|4915|4953
404010CB,13244|13245|4842|13423|4845
404119,13438|13439|13627|13519|13520
404126,13170|13194|13627|13342
404324,13150|13537|13656|13670
404325,13150|13537|13656|13670
404326,13150|13537|13656|13670
404327,13150|13537|13656|13670
404328,13150|13537|13656|13670
404907,13695|13700|13706|13713
404908,13695|13700|13706|13713
405270,13150|13536|13593|13514
405405,4907|4908|4916|4981
405518,13695|13700|13709|13712|13715
405519,13695|13700|13709|13712|13715
405797,13150|13536|13666|13514
405803,13695|4859|4926|4963|4964
405804,13695|4859|4926|4963|4964
405805,13695|4859|4926|4963|4964
405806,13695|4859|4926|4963|4964|18461
405808,13695|4859|4926|4963|4964
405810,13695|4859|4926|4963|4964
405811,13695|4859|4926|4963|4964
405812,13695|4859|4926|4963|4964
405813,13695|4859|4926|4963|4964
405814,13695|4859|4926|4963|4964|18461
405816,13695|4859|4926|4963|4964
405817,13695|4859|4926|4963|4964
405819,13695|4859|4926|4963|4964
405820,13695|4859|4926|4963|4964
405821,13695|4859|4926|4963|4964
405825,13695|4859|4926|4963|4964
405849,13927|4876|5099|5108
405862,13150|13536|13658|13514
406010,13150|5391|5392|5167|5170
406033,13438|13444|13471|13515|13516
406035,13438|13444|13471|13515|13516
406252,13150|5391|5392|13560|5170
406928,13150|13536|13591|13514
407466,13150|13536|13391|13514
407469,13150|13536|4855|5005
408175,13881|13882|13889|13891|13892|13895
408210,13927|4906|4918|4977
408288,13927|13928|13929|13930
408290,13927|13928|13929|13930
408291,13927|13928|13929|13930
408292,13927|13928|13929|13930
408358,13881|13882|13471|13891|13892|13893
408641,13695|13700|13707|13712|13715
408646,13695|13700|13707|13712|13715
408647,13695|13700|13707|13712|13715
409057,13170|13169|13626|13305|13632
409058,13170|13169|13626|13305|13632
409157,13244|13367|400|5074|5076
409158,13244|13367|400|5074|5076
409159,13244|13367|400|5074|5076
409174,13244|13367|400|5074|5076
409410,13695|4859|4926|4963|4964
409638,13927|4905|4945|5007
409674,13695|4859|13971|5027
409675,13695|4859|13971|5027
409692,13695|4859|13988|4963|4964|62781
409695,13695|4859|13988|5027
409697,13695|4859|13988|5027|62781
409699,13695|4859|13988|4967|4968
409725,13150|13536|13653|13514
409815,13881|13882|13889|13891|13892|13893
409816,13881|13882|13889|13891|13892|13897
409817,13881|13882|13889|13891|13892|13897
409818,13881|13882|13889|13891|13892|13893
409819,13881|13882|13889|13891|13892|13897
409820,13881|13882|13889|13891|13892|13896
409824CB,13150|13534|13406|4893|13821
409864,13927|4876|5097|606
409867,13927|4876|5097|799|5027
409868,13927|4876|5097|5101
409876,13927|4876|5097|606
409878,13927|4876|5097|606
409906,13150|13535|4999|5087|5093
409907,13150|13535|4999|5085|5092
409908,13150|13535|4999|5088|5094
409909,13150|13535|4999|5086|13877
410400,13170|13195|13204|5019|5018
410561,13170|13195|984|999|1929
