id,tags
402738,13170|13169|874|874|11241|14281|253|13282|14280|14282|1936
284078,13170|13169|7749|7693|14292|14294|248|871|14291
301324,13170|13169|1936|8018|14263|253|13282|14282|1936
399497,13170|13169|1936|8018|14263|253|13282|14282|1936
287197,13170|13169|518|7770|14275|14249|247|256|7749
284028,13170|13169|518|7688|1290|9853|14248|13272|249|284|252
287198,13170|13169|518|7771|14276|965|14249|247|256|7749
296341,13170|13169|518|7936|251|14297|13268|14303|14301|14302
296336,13170|13169|518|7935|251|14298|13268|14303|14301|14302
318701,13170|13169|518|8382|14289|14290|14292|248|871|14291
284033,13170|13169|12432|7689|14292|14293|248|871|14291
377478,13170|13169|14263|10059|254|14116|886|8676|14319|14303
375421,13170|13169|14263|9942|254|14117|886|8676|14319|14303
301325,13170|13169|14263|8019|254|14116|886|8676|14319|14303
169000,13170|13169|14263|6201|254|886|8676|14319|14303
388787,13170|13169|14263|10727|254|14118|886|8676|14118|14319|14303
209412,13170|13169|171|6329|250|993|14331|14313|14311
388782,13170|13169|7749|10723|14306|926|14305|13305|247|256
388783,13170|13169|7749|10724|14306|926|14305|13305|247|256
255609,13170|13169|12439|6668|14277|965|14249|247|256|7749
267018,13170|13169|12440|7168|255|14295|14292|248|871|14291
206123,13170|13169|12440|6311|254|14247|886|8676|14246|14319|14303
315756,13170|13169|12431|8354|11114|871|14292|11114|248|14291
399522,13170|13169|7749|11114|871|14292|14293|248|14291
388778,13170|13169|7985|10719|14278|256|14249|247|7749
412413,13170|13169|7670|251|11682|14302|14298|13268|14303|14301
412414,13170|13169|7670|251|11683|14302|14297|13268|14303|14301
412415,13170|13169|7670|11684|288|871|14293|14292|11114|248|14291
275128,13170|13169|7670|7444|251|14302|14300|13268|14303|14301
377866,13170|13169|7904|10074|14279|256|14249|247|7749
388126,13170|13169|13236|10673|1290|252|14248|13272|249|284
388136,13170|13169|13236|10676|1290|252|14248|13272|249|284
388137,13170|13169|13236|10677|1290|252|14248|13272|249|284
388135,13170|13169|13236|10675|1290|252|14248|13272|249|284
163064,13170|13169|77|6185|871|14293|14292|11114|248|14291
182398,13170|13169|77|6249|255|871|14293|14292|11114|248|14291
180199,13170|13169|77|6236|254|14247|14116|886|8676|14117|14319|14303
182492,13170|13169|77|6250|254|14247|14116|886|8676|14117|14319|14303
368200,13170|13169|885|9725|12397|965|14249|247|256|7749
368201,13170|13169|885|9726|12397|965|14249|247|256|7749
368202,13170|13169|885|9727|10414|965|14249|247|256|7749
293260,13170|13169|7749|7863|14306|926|14305|13305|247|256
399493,13170|13169|14263|14251|11112|14265|14249|247|256|7749
399492,13170|13169|14263|14251|11111|14265|14249|247|256|7749
