id,brand_id
353329,704
353429,676
353443,274
353870,676
353893,255
353894,255
353895,255
353896,255
354199,255
354202,255
354203,255
355598,794
356417,30
356418,30
356419,30
356420,30
357345,584
357347,584
357420,256
357423,256
357650,542
357664,542
357671,540
357840,271
358249,445
358250,445
358251,445
358375,572
358441,98
358551,676
358659,412
358664,412
358693,678
358864,381
359426,274
360024,676
360985,477
360989,477
360992,477
360994,371
361067,687
361069,687
361070,687
361152,678
361154,678
361258,429
361344,255
361345,255
362643,542
362842,274
362843,274
362845,274
363168,315
363305,445
363347,365
363349,365
364124,282
364361,469
364559,325
364561,325
364562,325
364706,542
364714,542
364817,187
364941,325
365065,325
365067,325
365396,64
365401,412
365430,412
365570,554
365571,554
365787,584
365991,412
366004,412
366840,542
366841,542
366842,542
366918,788
366926,788
366935,788
366942,788
366943,788
366944,788
366946,788
366947,788
367280,365
367281,365
367423,255
368206,343
368212,678
368213,678
368215,708
368531,586
368532,205
368823,577
369171,175
369178,303
369507,412
369606,255
369608,255
369697,553
370076,788
371365,548
371890,697
371892,697
372112,412
372396,325
372397,325
372398,325
372593,274
372637,447
372638,447
372640,429
372641,429
372642,205
372644,586
372817,566
372908,149
373099,325
373375,205
373451,542
373512,325
373513,325
373520,98
373541,570
373542,570
374185,226
374247,286
374248,286
374765,255
374820,476
374830,542
374936,205
374937,344
375109,543
375113,158
375123,554
375124,554
375125,274
375126,274
375127,274
375175,584
375176,584
375181,584
375517,811
375518,811
375519,811
375520,811
375521,811
375686,159
375696,159
375715,159
375716,159
375972,205
376168,325
376356,175
376357,175
376358,175
376359,175
376384,788
376388,788
376391,788
376399,788
376400,788
376408,788
376411,788
376413,788
376414,788
376415,788
376416,788
376419,788
376420,788
376422,788
376423,788
376426,788
376427,788
376428,788
376430,788
376431,788
376432,788
376434,788
376436,788
376456,788
376457,788
376458,788
376461,788
376464,788
376466,788
376474,788
376475,788
376538,788
376584,802
376878,421
376901,159
376903,421
376904,554
376906,542
376908,542
376909,421
376910,421
376911,811
376946,274
376947,274
377039,720
377735,368
377874,725
377875,584
378171,251
378177,800
378768,147
378772,604
378803,708
378804,708
378805,708
378806,371
379676,226
379705,274
379709,226
379908,570
379909,559
379953,412
379962,412
380001,72
380020,825
380708,811
380957,159
380958,159
381121,159
381122,159
381259,811
381433,802
381436,802
381565,443
381566,443
381567,443
381813,678
381815,704
381828,412
382075,811
382078,577
382114,159
382242,426
382263,426
382265,426
382273,426
382274,426
382276,426
383257,788
383261,788
383265,788
383311,785
383357,447
383458,159
383514,794
383515,794
383534,604
383606,236
384037,159
384055,794
384056,794
384068,316
384069,316
384070,570
384071,570
384190,787
384404,542
384490,412
384508,316
384510,316
384512,570
384514,570
384516,570
384519,316
384521,316
384523,570
384626,316
384627,316
384628,316
385316,476
385319,476
385327,226
385330,226
385331,226
385628,708
385629,708
385691,182
