id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations,size,,
380781,49,380781.jpg,Gone Mad Sugar Cheese Crackers 110 g,"[""380781.jpg"",""380781-1.jpg"",""380781-2.jpg"",""380781-3.jpg"",""380781-4.jpg"",]",60,60,0,1,3,32,0,0,1,10,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Product Quantity: 1100 grams</span></li>
 	<li><span class=""a-list-item"">Shelf Life: 365 Days; Material Feature: Vegetarian</span></li>
 	<li><span class=""a-list-item"">List of all Items Included: 10 Pack of Sugar Cheese Crackers (1 Box Contains 10 Pieces with each of 11g)</span></li>
 	<li><span class=""a-list-item"">Storage Instructions: Store in a cool, hygienic and dry place</span></li>
</ul>",,,,0,1,0,0,1,0,,0,18,
380807,49,380807.jpg,"Parle-G Gold Biscuit, 1kg","[""380807.jpg"",""380807-1.jpg"",""380807-2.jpg"",""380807-3.jpg"",""380807-4.jpg"",]",115,115,0,1,3,38,0,0,0,0,1,1,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Enjoy biscuits by dipping in milk</span></li>
 	<li><span class=""a-list-item"">Contains added flavours</span></li>
 	<li><span class=""a-list-item"">Filled with the goodness of milk and wheat</span></li>
 	<li><span class=""a-list-item"">Combination of taste and health</span></li>
</ul>",,,,0,1,0,0,1,0,,0,18,
382738,49,382738.jpg,"Cadbury Oreo Original Vanilla Creme Biscuits,50g (pack of 12)","[""382738.jpg"",""382738-1.jpg"",""382738-2.jpg"",""382738-3.jpg"",""382738-4.jpg"",]",120,120,0,1,3,38,0,0,1,50,0,0,0,0,0,0,0,0,"Rich, smooth chocolate creme sandwiched between two crunchy chocolate wafers",,,,0,1,0,0,1,0,,0,18,
382739,49,382739.jpg,"Cadbury Oreo Creme Biscuit, Chocolate, 50g (Pack of 12)","[""382739.jpg"",""382739-1.jpg"",""382739-2.jpg"",""382739-3.jpg"",""382739-4.jpg"",]",120,120,0,1,3,38,0,0,1,50,0,0,0,0,0,0,0,0,"Rich, smooth chocolate creme sandwiched between two crunchy chocolate wafers",,,,0,1,0,0,1,0,,0,18,
344099,49,344099.jpg,Burger Bun 6 Pieces 70g,"[""344099.jpg"",""344099-1.jpg"",""344099-2.jpg"",""344099-3.jpg"",""344099-4.jpg"",]",35,35,0,1,3,29,0,0,1,70,0,0,0,0,0,0,0,0,"Burger bun is hand-sized, dome-shaped, flat-bottomed bread, which is typically sliced into two and packed with a vegetable patty, lettuce, cheese, shredded vegetables, etc. to make burgers, a popular fast food across the world. Basic burger buns are usually made using flour, sugar, eggs, yeast and butter.",,,,0,1,0,0,1,0,,0,0,
343964,49,343964.jpg,Milk Bread 400 g,"[""343964.jpg"",""343964-1.jpg"",""343964-2.jpg"",""343964-3.jpg"",""343964-4.jpg"",]",37,37,0,1,3,29,0,0,1,400,0,0,0,0,0,0,0,0,Milk is scientifically proven to be a rich source of calcium and vitamin,,,,0,1,0,0,1,0,,0,0,
344106,49,344106.jpg,Pav Bun 200 g,"[""344106.jpg"",""344106-1.jpg"",""344106-2.jpg"",""344106-3.jpg"",""344106-4.jpg"",]",22,22,0,1,3,29,0,0,1,200,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Great taste</span></li>
 	<li><span class=""a-list-item"">Great value</span></li>
 	<li><span class=""a-list-item"">Store under cool, dry and hygienic conditions</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
343957,49,343957.jpg,Sandwitch Bread 800 g,"[""343957.jpg"",""343957-1.jpg"",""343957-2.jpg"",""343957-3.jpg"",""343957-4.jpg"",]",52,52,0,1,3,29,0,0,1,800,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Every day eat fresh</span></li>
 	<li><span class=""a-list-item"">Transfat free</span></li>
 	<li><span class=""a-list-item"">Gives you healthy start every day</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
343971,49,343971.jpg,Whole Wheat Bread 400g,"[""343971.jpg"",""343971-1.jpg"",""343971-2.jpg"",""343971-3.jpg"",""343971-4.jpg"",]",38,38,0,1,3,29,0,0,1,400,0,0,0,0,0,0,0,0,"Whole Wheat Bread is a good source of fibre and essential nutrients. Soft and delicious, enjoy toasted bread",,,,0,1,0,0,1,0,,0,0,
377958,49,377958.jpg,Amul Fresh Cream 250g,"[""377958.jpg"",""377958-1.jpg"",""377958-2.jpg"",""377958-3.jpg"",""377958-4.jpg"",]",63,63,0,1,3,32,0,0,1,250,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Amul Fresh Cream has been processed to give smooth, consistency and makes mouth watering preparations</span></li>
 	<li><span class=""a-list-item"">Amul fresh cream sterilized at high temperature and packed aseptically to give safe, rich cream which stays fresh until opened</span></li>
 	<li><span class=""a-list-item"">Made of fresh &amp; pure milk cream</span></li>
 	<li><span class=""a-list-item"">No preservative added</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
378001,49,378001.jpg,"Amul Fresh Cream(250g, Pack Of 32)","[""378001.jpg"",""378001-1.jpg"",""378001-2.jpg"",""378001-3.jpg"",""378001-4.jpg"",]",2016,2016,0,1,3,32,0,0,1,250,0,0,0,0,0,0,0,0,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Amul Fresh Cream has been processed to give smooth, consistency and makes mouth watering preparations</span></li>
 	<li><span class=""a-list-item"">Amul fresh cream sterilized at high temperature and packed aseptically to give safe, rich cream which stays fresh until opened</span></li>
 	<li><span class=""a-list-item"">Made of fresh &amp; pure milk cream</span></li>
 	<li><span class=""a-list-item"">No preservative added</span></li>
</ul>",,,,0,1,0,0,1,0,,0,0,
