id,tax_class
5919010OG,18
5919011OG,18
5919013OG,18
5919017OG,18
5919018OG,18
5919318OG,18
5919319OG,18
5919324OG,18
5919576OG,18
5995202459,18
601169055,18
603,18
60478,12
605,18
606-609-A,18
611250755,18
611251755,18
611253755,18
612475453,12
612485415,12
6136b-E-A,12
641935412,12
641935612,12
642125512,12
64212551220,12
64212551249,12
64213551223,12
642145412,12
642405512,12
642545515,12
642555515,12
642655612,12
642725612,12
642745512,12
668-48,18
678-103,12
678-103-A,12
678-104-A,12
678A,18
67Z (0) 09 002,18
680006,18
680014,18
703,18
7050,12
70PUT6704,28
710,18
711,18
711007_02,18
712,18
713102_36,18
715,18
717,18
719,18
723,18
725,18
729,18
733,18
737,18
738,18
740,18
741,18
743,18
744,18
7637,12
77008-s-A,12
7737202156,18
78612_Black,18
78612_Dark Brown,18
78612_Tan,18
78613_Black,18
78613_Dark Brown,18
78614_Black,18
78614_Dark Brown,18
78614_Tan,18
78615_Black,18
78615_Dark Brown,18
8002-Se-A,12
801,18
804,18
817,18
8661,18
87732253,18
901-6002,18
902,18
90O (0) 31 011,18
90O (0) 31 012,18
90O (0) 31 013,18
90O (0) 31 014,18
90O (0) 31 015,18
90O (0) 31 016,18
916,18
91D (0) 09 011,18
91D (0) 09 012,18
91D (0) 09 014,18
91D (0) 09 114,18
929-B2 -A,12
931-4001,18
931-6001,18
934-4001,18
934-6001,18
99496,12
99497,18
99506,12
99530,12
99531,12
99532,12
99533,12
999-2,18
9W Inverter Bulb,12
A101_BLK,18
A101_Navy,18
A101_RED,18
A101_TAN,18
A102_Black,18
A102_Navy,18
A102_RED,18
A102_Tan,18
A125_Black,18
A125_Navy,18
A125_Red,18
A125_Tan,18
A126_Black,18
A126_Navy,18
A126_Red,18
A126_Tan,18
A129_Black,18
A129_Navy,18
A129_Red,18
A129_Tan,18
A132_Black,18
A132_Navy,18
A132_Red,18
A132_Tan,18
A133_Black,18
A133_Navy,18
A133_Red,18
A133_Tan,18
A135_Black,18
A135_Navy,18
A135_Red,18
A135_Tan,18
A137_Black,18
A137_Navy,18
A137_Red,18
A137_Tan,18
A301_Black,18
A301_Navy,18
A301_Red,18
A301_Tan,18
A3902J21,18
A4-1,18
A40_Black,18
A40_Brown,18
A42115,18
A61,18
A904_Black,18
A904_Navy,18
A904_Red,18
A904_Tan,18
A905_Navy,18
A905_Tan,18
AA-2074,18
AA2331,5
Aavante Bar 1198,18
Aavante Bar 1280,18
Aavante Bar 1803,18
Aavante Bar 3100D,18
Aavante Bar 4000DA,18
AC0817,18
AC1217,18
AC2958-63,18
AC3059-65,18
AC5488,12
ACGIH-IHL101,18
ACGIH-IHL102,18
ACGIH-IHL104,18
ACGIH-IHL151,18
ACGIH-IHL152,18
ACGIH-IHL154,18
ACGIH-IHL201,18
ACGIH-IHL251,18
ACPUWP,18
AERUM,18
AGO,18
AH9098,18
AH9099,18
Airdopes-443,18
Airdops-203,18
AIWH-3LRPIDJT3KW5Y,18
AIWH-3LSOLNEO3KW5Y,18
AMUWP,18
AN0 (0) 39 001,18
ANG001M,18
AP12WL,12
AQU001,18
AS4 (0) 09 004,18
AS4 (0) 41 001,18
AS5 (0) 09 006,18
AS5 (0) 41 007,18
ASSU,18
ASWH-1810,18
ASWH-1815,18
ASWH-1825,18
ASWH-1910SHz,18
ASWH-1915SHz,18
ASWH-1925SHz,18
ASWH-2010,18
ASWH-2015,18
ASWH-2025,18
ASWH-2415,18
ASWH-2425,18
ASWH-2735,18
ASWH-2750,18
ASWH-3006,18
ASWH-3010,18
ASWH-3015,18
ASWH-3025,18
ASWH1310-WHT/BLU,18
ASWH1315-WHT/BLU,18
ASWH1325-WHT/BLU,18
ASWH1606,18
ASWH1610,18
ASWH1615,18
ASWH1625,18
AUX-1,18
AVI001,12
AVI002,12
AVI003,12
AVI004,12
AZZ001,18
AZZ001M,18
AZZ002,18
AZZ002M,18
AZZ003,18
AZZ003M,18
AZZ004M,18
B205,18
Bassheads 110,18
BEL550MS0I,18
BEN001M,18
BEN002M,18
BEN003W,18
BEN004M,18
BEN005W,18
BEN006W,18
BEN007M,18
BEN008M,18
BEN009M,18
BEN010W,18
BEN011W,18
BEN012M,18
BEN013M,18
BEN014W,18
BEN015W,18
BEN016M,18
BEN017M,18
BF-630A-A,18
BG-1001B,12
BG-1002B,12
BG-1003B,12
BG-1089B,12
BG-1092B,12
BG-1093B,12
BG-1095B,12
BG-1096B,12
BG-1097B,12
BG-193,12
BG-194,18
BG-197,12
BG-20501,18
BG-31030,12
BG-31031,12
BG-31032,12
BG-31033,12
BG-31034,12
BG-31035,12
BG-31036,12
BG-31140,12
BG-31141,12
BG-31142,12
