id,original_price,sell_price,discount
121001_03,22990,16627,28
121001_844,22990,12064,48
121009_36,4490,3529,22
12105,3210,2764,14
122014_205,1490,870,42
122101_03,10990,5869,47
122102_03,7990,4321,46
122103_03,6490,3546,46
122104_03,4990,3783,25
122105_113,1490,920,39
122106_113,1890,1126,41
122107_113,2190,1281,42
122350,175,175,0
122620,180,174,4
122644,205,198,4
122650,170,170,0
123006_02,15990,8451,48
123006_206,15990,8451,48
123006_36,15990,11671,28
123007_36,12990,9547,27
123008_36,9990,7423,26
123010_36,5990,4491,26
123659,55,55,0
124656,270,242,11
124657,490,442,10
124870,155,151,3
124871,150,146,3
125319,375,338,10
125546,498,481,4
126009_09,1999,1132,44
126013_03,1999,1132,44
126013_09,1999,1132,44
126014_03,1999,1132,44
126014_09,1999,1132,44
126014_335,1999,1132,44
126014_349,1999,1132,44
126153,1005,983,3
126158,1245,1218,3
126903,270,265,2
126906,490,434,12
127362,150,146,3
128069,356,245,32
128327,289,199,32
128596,446,435,3
12W Inverter bulb,1298,1266,3
13-Piec-A,1299,971,26
130138,1200,1102,9
130307,1320,1212,9
133571,240,234,3
134006,1100,1078,2
134149,35,35,0
134262,1449,999,32
135463,125,119,5
137385,186,178,5
137575,415,387,7
137623,72,69,5
137936,750,730,3
1404,384,384,0
140466,282,268,5
140873,308,305,1
1409,436,436,0
1410,465,465,0
1415,435,435,0
1417,497,497,0
1418,435,435,0
142156,258,249,4
144126,100,97,3
144395,240,228,5
145130,1152,1100,5
146378,85,73,15
146384,87,81,7
146514,299,294,2
146675,695,479,32
146775,145,141,3
146778,130,130,0
147283,64,58,10
147491,220,216,2
147492,455,446,2
147493,1270,1242,3
147738,910,910,0
148392,20,20,0
148676,240,236,2
148681,299,291,3
148682,151,147,3
149353,101,98,3
149354,101,98,3
149829,60,60,0
1501,990,923,7
1502,680,655,4
1503,1235,1114,10
1504,1025,950,8
150476,100,94,7
1505,740,680,9
1506,1275,1145,11
1507,590,525,12
1508,760,758,1
1509,750,700,7
1510,980,942,4
151059,765,738,4
1513,1485,1409,6
1514,1880,1754,7
152075,1380,1267,9
152329,390,344,12
152450,147,144,3
153122,120,117,3
154171,450,427,6
154902,220,214,3
156639,160,130,19
157375,225,214,5
157419,210,208,1
159705,320,315,2
159713,320,315,2
1601EI,599,599,0
1602AGEB,499,499,0
1602FH,499,499,0
161622,450,427,6
161623,450,427,6
161826,109,107,2
161897,88,80,10
161898,18,18,0
161899,12,12,0
163055,94,84,11
163056,153,140,9
163064,44,42,5
163575,49,48,3
163578,160,156,3
163582,122,119,3
163584,236,230,3
163810,312,294,6
163920,150,142,6
163921,150,142,6
165939,199,193,4
167781,205,197,4
167782,205,197,4
167814,120,115,5
167976,699,520,26
168946,75,72,4
168949,65,65,0
168950,75,72,4
169000,508,397,22
169052,32,30,7
169053,66,57,14
169054,40,37,8
169055,35,32,9
169309,70,67,5
169409,1075,908,16
169426,46,46,0
169899,50,49,2
1703IAEB,699,699,0
170693,420,384,9
170695,230,226,2
1710,510,510,0
1715,599,540,10
171651,183,177,4
172206,165,160,4
172260,160,155,4
1723,595,595,0
1727,990,899,10
1728,810,810,0
1729,735,670,9
172917,109,101,8
174253,70,68,3
174549,342,336,2
174626,345,331,5
174631,165,161,3
174635,225,220,3
174636,165,161,3
175116,145,141,3
175118,145,141,3
175257,15,15,0
175374,432,432,0
176362,280,272,3
176364,275,268,3
177140,435,435,0
177150,285,274,4
177155,245,235,5
177181,200,192,4
177307,399,395,2
179161,100,98,2
179650,355,334,6
179651,355,334,6
180199,50,41,18
1801AI,999,969,4
1801HF,999,969,4
1802FH,649,649,0
1802GIBA,649,649,0
180512,240,218,10
1805255,50,50,0
180537,120,117,3
180584,50,49,2
1805BEIA,1399,1194,15
1805HF,1399,1194,15
1806AGJEI,599,599,0
1806HF,599,599,0
180963,2760,2671,4
180981,165,162,2
180983,165,162,2
181118,102,99,3
181156,180,180,0
181594,320,315,2
181597,215,205,5
181598,200,197,2
182214,250,234,7
182398,1000,913,9
182492,1000,909,10
182665,330,310,7
182914,180,178,2
184353,685,667,3
184607,56,56,0
185568,160,156,3
186070,250,248,1
186077,210,209,1
186232,185,184,1
186815,200,183,9
188077,150,142,6
188078,150,142,6
188079,150,142,6
188080,150,142,6
188081,150,150,0
188082,150,142,6
189099,180,171,5
189100,180,171,5
189101,180,171,5
189103,180,174,4
189204,499,486,3
189221,270,260,4
189296,199,196,2
189311,285,275,4
189323,215,208,4
189326,215,208,4
189433,1530,1500,2
189439,695,655,6
189785,240,232,4
19020B,1299,1299,0
192941,170,165,3
196984,119,116,3
197348,144,141,3
197351,240,239,1
198934,465,449,4
199504,1980,1928,3
199522,72,70,3
199610,670,574,15
199785,1410,1393,2
20021,3420,3260,5
200327,395,381,4
200952,270,259,5
201388,816,799,3
2013RC,1599,1550,4
2016EBACI,399,399,0
20223,2150,2150,0
202239,600,579,4
20224,2895,2663,9
202242,660,638,4
202243,550,532,4
202248,550,532,4
20225,2595,2360,10
202277,430,415,4
20229,3780,3280,14
20230,4070,3712,9
20231,3470,3027,13
20232,3840,3634,6
20235,4070,3452,16
20236,3470,2972,15
20238,3470,2972,15
20239,3260,2958,10
20240,3640,3470,5
20242,4070,4002,2
20247,2180,2029,7
20248,2420,2132,12
20249,2620,2620,0
20250,2790,2472,12
20251,3110,2938,6
20254,4120,3644,12
20307,3420,3260,5
20327,3790,3228,15
20330,3420,3241,6
20355,2110,1884,11
20357,2930,2540,14
20359,2200,1991,10
20360,2520,2482,2
20375,1880,1835,3
20429,1860,1818,3
204442,190,174,9
20454,1680,1540,9
20457,1800,1636,10
20459,2780,2420,13
204629,300,285,5
204728,245,234,5
204772,2000,1577,22
204912,290,261,10
20504,2750,2544,8
20513,3100,2830,9
205184,5184,5091,2
205215,1068,1039,3
20551,2600,2422,7
20552,2910,2675,9
205660,249,241,4
205716,50,50,0
205717,45,45,0
205718,45,45,0
205775,1099,1033,7
205854,2364,2291,4
205988,185,178,4
205990,320,302,6
205991,320,311,3
20601,2150,1916,11
206046,1400,1127,20
206047,1076,995,8
206123,1200,1199,1
206182,69,67,3
206407,60,58,4
206408,60,58,4
206416,120,117,3
206429,130,127,3
206433,120,117,3
20651,1975,1975,0
20652,2595,2418,7
20653,3200,2927,9
20654,1725,1658,4
206702,78,77,2
206776,285,255,11
206778,235,223,6
206779,160,152,5
206980,223,220,2
206981,222,219,2
206982,235,231,2
207986,299,280,7
208345,195,189,4
208578,80,76,5
208767,5436,5269,4
209412,2700,2658,2
2100096342,949,903,5
2100096348,1849,1626,13
2100096353,1449,1318,10
2100102552,2299,1950,16
210060,399,383,5
212128,449,433,4
212130,400,386,4
212701,285,275,4
213239,19,19,0
213240,37,37,0
213243,22,22,0
213244,43,43,0
213245,10,10,0
213246,22,22,0
213253,225,216,4
213256,5400,5117,6
213273,450,437,3
213576,249,225,10
214216,1050,909,14
214217,520,459,12
214431,295,248,16
214515,150,146,3
214784,500,486,3
215130,600,579,4
215578,199,193,4
215595,460,444,4
216,540,540,0
216747,285,275,4
216809,280,271,4
216871,60,58,4
216877,30,30,0
217464,48,48,0
218856,64,59,8
219138,1890,1826,4
220612,635,575,10
221234,575,565,2
221404,575,565,2
221409,575,565,2
221410,575,565,2
221412,320,315,2
221429,320,315,2
2218EA,1599,1599,0
2218FH,1599,1478,8
222085,341,327,5
222783,149,143,5
223298,200,196,2
223305,1005,983,3
223536,125,120,4
223537,65,63,4
223660,80,77,4
223661,150,144,4
223662,65,63,4
223663,135,130,4
224591,279,265,6
224835,65,63,4
225582,1470,1402,5
225769,230,224,3
225770,420,405,4
226491,650,633,3
226990,65,61,7
227052,575,565,2
227173,250,249,1
228408,370,360,3
228522,197,192,3
228523,197,192,3
228526,205,200,3
228528,85,85,0
228529,106,104,2
228589,132,121,9
228623,540,520,4
228899,380,371,3
229136,375,365,3
229140,280,271,4
229144,310,305,2
229148,330,324,2
229156,148,146,2
229635,635,572,10
229636,575,543,6
229744,119,117,2
229771,59,59,0
229789,110,107,3
229791,100,98,2
229793,100,98,2
229794,100,98,2
229853,125,123,2
229910,110,104,6
229912,100,94,7
229922,110,104,6
229926,105,102,3
229930,100,94,7
229936,110,104,6
229939,115,108,7
22W (0) 03 011,2150,1899,12
22W (0) 03 012,1750,1536,13
22W (0) 03 113,1400,1219,13
22W (0) 03 114,2550,2170,15
22W (0) 09 013,1850,1616,13
22W (0) 09 014,1850,1616,13
22W (0) 09 113,1400,1226,13
230634,60,59,2
230745,225,218,4
231187,300,293,3
231206,120,115,5
232729,104,99,5
233753,110,107,3
235168,99,98,2
235214,610,594,3
236283,225,218,4
236284,225,218,4
236520,60,59,2
236544,480,468,3
236834,21,21,0
237218,150,144,4
237445,90,87,4
237461,140,134,5
237467,125,117,7
238341,20,20,0
238380,20,20,0
239335,470,425,10
239524,62,60,4
240040,155,153,2
240057,258,239,8
240061,350,338,4
240065,625,603,4
240067,295,283,5
240122,220,216,2
240124,110,108,2
240147,650,621,5
240149,272,268,2
240155,640,612,5
240156,330,316,5
240158,272,268,2
240162,261,257,2
240163,246,242,2
240165,205,202,2
240168,261,257,2
240178,195,192,2
240179,235,231,2
240180,350,335,5
240182,340,325,5
240183,150,148,2
240449,249,224,11
241132,72,69,5
241437,29000,15846,46
241441,45500,24755,46
241481,69200,37553,46
241492,30100,16440,46
241501,215,210,3
241538,57,55,4
241540,35600,21556,40
241598,1050,1024,3
241600,21,21,0
241601,40,39,3
241656,49700,27024,46
241658,49300,26808,46
241675,31000,16926,46
241677,31100,16979,46
241681,39800,21678,46
241682.1,39300,21408,46
241683.1,38600,21030,46
241695,350,342,3
241712.1,42900,23352,46
241719.1,36000,19625,46
241725.1,48700,26483,46
242,90,90,0
242060,240,237,2
242596,185,178,4
242667,210,204,3
242668,210,204,3
242671,26,26,0
242672,88,86,3
242673,25,25,0
243051,205,202,2
243080,199,175,13
243335,175,153,13
243336,210,190,10
243990,50,46,8
243991,57,53,8
244,650,650,0
244092,45,45,0
244094,50,49,2
244096,60,51,15
244286,45,44,3
244815,505,490,3
244961,1710,1683,2
244997,44,43,3
244999,520,504,4
245001,50,49,2
2451,990,990,0
2452,990,990,0
245504,500,484,4
245509,75,73,3
245525,70,69,2
2459,2259,2008,12
246395,240,234,3
246700,199,195,3
246792,289,199,32
246794,1899,1546,19
247115,279,270,4
247282,210,186,12
247986,92,90,3
248003,20,17,15
248215,415,404,3
248593,25,25,0
249061,175,171,3
249062,129,127,2
249094.1,46000,25025,46
249096.1,71200,38633,46
249154,380,360,6
249155,380,360,6
249162,7350,7018,5
249163,235,229,3
249362,60,58,4
249369,20,20,0
249449,225,220,3
249452,225,220,3
249540,885,816,8
249581,530,516,3
249877,66,60,10
249882,88,80,10
249885,109,99,10
249889,154,140,10
249926,286,260,10
249944,248,225,10
249951,193,175,10
249953,291,264,10
249961,275,250,10
249963,248,225,10
249965,58,52,11
24N (0) 09 003,9500,6748,29
24N (0) 09 005,12000,9754,19
24N (0) 09 008,18100,14686,19
250077,105,95,10
250095,61,55,10
250103,94,85,10
250110,94,85,10
250116,33,30,10
250122,73,66,10
250133,303,275,10
250145,219,199,10
250174,149,135,10
250200,99,90,10
250205,165,150,10
250216,110,100,10
250219,77,70,10
250222,43,39,10
250223,88,80,10
250231,72,65,10
250383,66,60,10
250406,88,80,10
250417,18,16,12
250437,15,13,14
250438,44,40,10
250440,17,15,12
250443,28,25,11
250445,66,60,10
250457,44,40,10
250460,55,50,10
250462,61,55,10
250465,44,40,10
250468,44,40,10
250474,61,55,10
250490,138,125,10
250492,33,30,10
250505,69,62,11
250507,132,120,10
250511,70,63,10
250512,54,49,10
250520,200,188,7
250521,20,18,10
250528,28,25,11
250531,66,60,10
250536,77,70,10
250538,110,100,10
250539,22,20,10
250543,143,130,10
250544,83,75,10
250545,22,20,10
250547,7,6,15
250549,18,16,12
250553,66,60,10
250554,44,40,10
250561,44,40,10
250569,39,35,11
250570,55,50,10
250574,33,30,10
250586,55,50,10
250591,83,75,10
250600,66,60,10
250604,83,75,10
250607,44,40,10
250608,22,20,10
250609,55,50,10
250611,96,87,10
250615,6,5,17
250624,275,250,10
250625,121,110,10
250626,49,44,11
250631,165,150,10
250634,165,150,10
250635,165,150,10
250638,110,100,10
250641,55,50,10
250645,143,130,10
250647,165,150,10
250656,110,100,10
250657,138,125,10
250658,165,150,10
250659,110,100,10
250660,154,140,10
250662,121,110,10
250664,165,150,10
250665,165,150,10
250667,149,135,10
250679,30,27,10
250680,17,15,12
250683,29,26,11
250685,25,22,12
250687,31,28,10
250689,31,28,10
250771,176,170,4
250930,39,35,11
250931,49,44,11
251011,210,203,4
251018,45,44,3
251020,95,93,3
251021,125,125,0
251026,140,137,3
251033,140,137,3
251042,35,35,0
251045,35,35,0
251149,140,137,3
251150,18,16,12
251191,1100,788,29
251218,550,532,4
251220,550,532,4
251224,550,532,4
251235,550,532,4
251249,620,599,4
251251,620,599,4
251259,620,599,4
252164,84,84,0
252171,102,102,0
252420,330,323,3
252427,142,136,5
252429,337,327,3
252663,28,25,11
252847,240,205,15
252868,180,155,14
252874,180,155,14
252876,190,183,4
252943,257,254,2
252947,292,289,2
252948,280,272,3
252950,510,510,0
252982,520,502,4
253009,320,315,2
253063,1024,1006,2
253355,329,299,10
253535,31,30,4
253562,235,232,2
253566,1190,1172,2
253860,630,602,5
254193,215,208,4
254677,155,135,13
254688,245,229,7
254690,325,304,7
255176,1399,1361,3
255178,135,132,3
255179,549,535,3
255185,390,379,3
255207,310,297,5
255208,310,297,5
255210,399,289,28
255215,42,41,3
255243,270,260,4
255499,265,262,2
255502,2700,2686,1
255505,310,256,18
255516,64,58,10
255517,109,102,7
255609,1500,1352,10
255611,190,184,4
255834,663,647,3
255843,920,768,17
255848,185,142,24
255849,90,82,9
255850,220,193,13
255851,105,98,7
255874,75,73,3
255963,60,60,0
256002,960,876,9
256045,400,379,6
256132,50,49,2
256133,50,50,0
256165,64,59,8
256222,525,443,16
25654,3790,3228,15
256648,165,162,2
256655,295,285,4
256683,70,68,3
256684,225,218,4
256685,230,222,4
256686,250,242,4
256687,190,184,4
256688,250,242,4
257034,220,206,7
257382,175,170,3
257399,25,25,0
257406,25,25,0
257407,25,25,0
257545,120,104,14
257852,45,43,5
257853,45,43,5
257859,40,39,3
257862,85,79,8
257863,33,32,4
258053,190,185,3
258133,192,186,4
258181,130,127,3
258357,133,129,4
258358,69,67,3
258359,37,37,0
258391,61,59,4
258392,115,110,5
258403,580,550,6
258415,115,113,2
258418,125,125,0
258421,315,301,5
258583,185,181,3
258584,175,171,3
258585,380,371,3
258588,50,48,4
258594,140,136,3
258599,190,184,4
258600,190,184,4
258601,190,184,4
258602,175,170,3
258604,105,101,4
258879,250,242,4
259032,245,234,5
259099,175,173,2
259244,750,706,6
259411,1500,1264,16
259705,110,107,3
259706,175,169,4
259837,190,184,4
259856,195,189,4
259985,30,30,0
260354,65,55,16
260405,82,79,4
260422,90,88,3
260424,90,88,3
260427,90,88,3
260429,90,88,3
260430,90,88,3
260432,90,88,3
260433,90,88,3
260434,95,92,4
260435,90,88,3
260439,90,88,3
260595,130,126,4
260598,140,134,5
260634,135,128,6
260637,199,196,2
260641,199,196,2
260642,150,143,5
260650,20,20,0
260653,20,20,0
260654,45,43,5
260767,60,59,2
260770,115,113,2
260772,115,111,4
260797,65,63,4
260798,70,68,3
260799,78,74,6
260806,70,68,3
260873,130,126,4
260874,130,126,4
260936,380,360,6
260993,60,58,4
260995,150,143,5
260996,55,53,4
260997,80,77,4
260999,95,91,5
261002,160,153,5
261012,80,77,4
261013,143,137,5
261017,180,169,7
261018,58,56,4
261025,115,110,5
261308,390,358,9
261328,390,358,9
261339,150,144,4
261373,600,497,18
261374,2500,2500,0
261478,66,60,10
261502,120,107,11
261515,325,308,6
261653,70,65,8
261662,44,40,10
261687,80,74,8
261815,215,206,5
262270,245,229,7
262712,140,136,3
262799,155,149,4
262809,925,892,4
262811,300,288,4
262814,177,173,3
262815,335,327,3
262971,190,184,4
262978,128,115,11
263108,99,98,2
263109,99,98,2
263112,249,243,3
263113,249,243,3
263114,90,86,5
263120,32,32,0
263122,55,54,2
263124,45,44,3
263125,30,30,0
263126,50,49,2
263128,35,34,3
263129,47,46,3
263164,70,70,0
263363,94,92,3
263367,92,90,3
263368,94,92,3
263369,120,117,3
263492,88,85,4
263493,298,283,6
263494,1250,1218,3
263515,80,78,3
263521,46,45,3
263524,68,65,5
263574,126,124,2
263575,65,63,4
263586,20,20,0
263593,30,30,0
263594,65,63,4
263597,60,58,4
263599,65,64,2
263602,40,39,3
263603,140,136,3
263606,280,276,2
263613,110,108,2
263620,35,35,0
263642,133,132,1
263654,25,24,4
263663,143,138,4
263675,128,124,4
263687,40,39,3
263696,85,79,8
263698,199,193,4
263699,90,88,3
263708,40,39,3
263710,100,97,3
263716,63,62,2
263719,140,132,6
263721,55,54,2
263724,45,44,3
263727,93,91,3
263732,199,199,0
263737,38,38,0
263740,188,182,4
263745,199,196,2
263753,188,185,2
263758,190,180,6
263760,89,87,3
263762,179,179,0
263764,190,180,6
263772,160,154,4
263775,45,43,5
263777,140,132,6
263778,92,90,3
263779,140,132,6
263781,140,132,6
263789,210,210,0
263799,225,214,5
263805,146,142,3
263813,280,271,4
263819,93,89,5
263838,110,109,1
263841,75,73,3
263850,145,134,8
263852,65,61,7
263856,116,115,1
263859,85,85,0
263862,100,95,5
263869,55,54,2
263870,95,92,4
263871,88,86,3
263872,50,48,4
263875,99,98,2
263878,40,39,3
263880,135,130,4
263884,85,83,3
263896,45,43,5
263910,138,134,3
263919,102,99,3
263920,104,101,3
263921,99,96,4
263923,140,136,3
263924,80,78,3
263925,153,148,4
263926,175,159,10
263930,49,49,0
263931,119,118,1
263935,40,39,3
263936,99,96,4
263939,130,124,5
263954,59,58,2
263957,120,115,5
263958,58,58,0
263967,40,39,3
263970,45,43,5
263973,89,87,3
263975,89,87,3
263980,128,124,4
263985,207,197,5
263986,106,104,2
263987,108,104,4
263993,120,117,3
263999,85,83,3
264001,170,163,5
264003,90,86,5
264009,110,107,3
264019,50,46,8
264024,80,78,3
264105,30,30,0
264111,65,60,8
264230,40,40,0
264233,35,35,0
264235,35,35,0
264237,35,35,0
264328,205,195,5
264329,180,171,5
264427,30,30,0
264432,30,30,0
264435,80,78,3
264437,158,156,2
264453,34,33,3
264454,80,78,3
264456,95,92,4
264460,46,44,5
264461,50,48,4
264465,60,59,2
264466,60,59,2
264468,30,30,0
264513,25,25,0
264515,25,24,4
264516,50,48,4
264520,230,224,3
264559,65,64,2
264565,45,44,3
264567,150,148,2
264589,45,44,3
264590,48,46,5
264593,48,46,5
264595,25,25,0
264597,32,32,0
264601,42,41,3
264661,85,82,4
264677,65,65,0
264679,105,102,3
264720,75,73,3
264746,161,145,10
264747,75,73,3
264764,128,124,4
264786,59,58,2
264796,275,248,10
264971,50,46,8
264972,50,46,8
264980,60,59,2
264981,72,69,5
264982,60,59,2
264983,60,59,2
264996,180,174,4
265074,28,28,0
265114,99,97,3
265178,180,177,2
265238,63,61,4
265242,93,90,4
265243,85,83,3
265244,85,83,3
265246,91,88,4
265247,220,220,0
265273,95,92,4
265280,65,63,4
265317,65,63,4
265349,150,144,4
265355,165,162,2
265371,430,423,2
265381,100,98,2
265439,123,122,1
265453,99,96,4
265490,155,151,3
265511,79,75,6
265611,98,95,4
265665,90,86,5
265673,90,86,5
265682,10,10,0
265688,20,20,0
265690,40,38,5
265692,58,56,4
265693,20,20,0
265694,38,36,6
265696,65,65,0
265698,20,20,0
265699,68,65,5
265701,20,20,0
265702,65,65,0
265707,65,65,0
265708,100,97,3
265712,105,87,18
265721,35,33,6
265722,109,90,18
265726,65,61,7
265728,105,87,18
265729,135,132,3
265770,20,20,0
265771,99,96,4
265853,115,112,3
265876,12,12,0
265891,35,34,3
265930,25,25,0
265939,31,31,0
265940,75,73,3
265941,31,31,0
265942,70,68,3
265943,92,90,3
265947,80,76,5
265948,42,41,3
265950,52,51,2
265951,120,120,0
265953,130,126,4
265954,125,121,4
265956,50,49,2
265957,130,126,4
265958,54,52,4
265959,120,117,3
265960,52,51,2
265961,50,49,2
265962,52,51,2
265963,52,51,2
265965,195,189,4
265966,105,102,3
265967,130,126,4
265968,55,54,2
265970,70,68,3
265971,76,74,3
265974,99,96,4
265978,16,16,0
265979,120,117,3
265980,110,107,3
265983,110,107,3
265987,135,130,4
265991,110,107,3
265994,99,96,4
265997,99,96,4
265998,110,107,3
266000,100,97,3
266005,65,64,2
266006,130,126,4
266009,150,145,4
266010,150,145,4
266011,130,126,4
266014,50,49,2
266015,90,88,3
266016,90,88,3
266017,90,89,2
266018,115,112,3
266031,84,82,3
266032,78,75,4
266034,84,82,3
266056,62,62,0
266057,62,62,0
266065,203,200,2
266070,128,127,1
266071,24,24,0
266096,94,93,2
266101,102,101,1
266103,115,114,1
266105,107,106,1
266109,96,95,2
266112,72,72,0
266122,77,75,3
266151,45,45,0
266156,240,232,4
266157,15,15,0
266160,12,12,0
266162,44,44,0
266165,24,24,0
266170,28,28,0
266283,130,126,4
266286,22,22,0
266291,27,26,4
266292,63,62,2
266293,80,78,3
266294,60,59,2
266323,66,65,2
266335,100,94,7
266419,100,100,0
266421,112,109,3
266428,50,49,2
266429,40,39,3
266437,25,25,0
266439,99,97,3
266467,399,388,3
266474,77,76,2
266531,170,166,3
266535,40,38,5
266541,99,97,3
266543,68,67,2
266545,60,59,2
266547,20,20,0
266549,60,59,2
266555,105,103,2
266557,55,55,0
266560,55,55,0
266570,105,103,2
266577,155,149,4
266579,340,331,3
266580,135,128,6
266585,68,65,5
266591,75,74,2
266592,35,33,6
266595,70,67,5
266628,52,51,2
266631,97,94,4
266638,75,73,3
