id,hsn_code
5919005OG,42022990
5919006OG,42022990
5919007OG,42022990
5919008OG,42022990
5919009OG,42022990
5919010OG,42022990
5919011OG,42022990
5919013OG,42022990
5919017OG,42022990
5919018OG,42022990
5919318OG,42022990
5919319OG,42022990
5919324OG,42022990
5919576OG,42022990
5995202459,42022990
601169055,84672100
603,392410
60478,73239390
605,392410
606-609-A,950300
611250755,84672100
611251755,84672100
611253755,84672100
612475453,95063200
612485415,95063200
6136b-E-A,950300
641935412,95063200
641935612,95063200
642125512,95063200
64212551220,95063200
64212551249,95063200
64213551223,95063200
642145412,95063200
642405512,95063200
642545515,95063200
642555515,95063200
642655612,95063200
642725612,95063200
642745512,95063200
668-48,9503
678-103,950300
678-103-A,950300
678-104-A,9503
678A,950300
67Z (0) 09 002,85365020
680006,48191010
680014,8516
703,392410
7050,950300
70PUT6704,85287218
710,392410
711,392410
711007_02,42022990
712,392410
713102_36,42022990
715,392410
717,392410
719,392410
723,392410
725,392410
729,392410
733,392410
737,392410
738,392410
740,392410
741,392410
743,392410
744,392410
7637,9503
77008-s-A,9503
7737202156,42021290
78612_Black,42023120
78612_Dark Brown,42023120
78612_Tan,42023120
78613_Black,42023120
78613_Dark Brown,42023120
78614_Black,42023120
78614_Dark Brown,42023120
78614_Tan,42023120
78615_Black,42023120
78615_Dark Brown,42023120
8002-Se-A,950300
801,392410
804,392410
817,392410
8661,9503
87732253,42021290
901-6002,4202
902,392410
90O (0) 31 011,42023190
90O (0) 31 012,42023120
90O (0) 31 013,42023190
90O (0) 31 014,42023120
90O (0) 31 015,42023190
90O (0) 31 016,42023190
916,392410
91D (0) 09 011,42023190
91D (0) 09 012,42023120
91D (0) 09 014,42023120
91D (0) 09 114,42023190
929-B2 -A,9503
931-4001,4202
931-6001,4202
934-4001,4202
934-6001,4202
99496,96170011
99497,96170011
99506,96170011
99530,74181022
99531,74181022
99532,74181022
99533,74181022
999-2,9503
9W Inverter Bulb,85395000
A101_BLK,42023120
A101_Navy,42023120
A101_RED,42023120
A101_TAN,42023120
A102_Black,42023120
A102_Navy,42023120
A102_RED,42023120
A102_Tan,42023120
A125_Black,42023120
A125_Navy,42023120
A125_Red,42023120
A125_Tan,42023120
A126_Black,42023120
A126_Navy,42023120
A126_Red,42023120
A126_Tan,42023120
A129_Black,42023120
A129_Navy,42023120
A129_Red,42023120
A129_Tan,42023120
A132_Black,42023120
A132_Navy,42023120
A132_Red,42023120
A132_Tan,42023120
A133_Black,42023120
A133_Navy,42023120
A133_Red,42023120
A133_Tan,42023120
A135_Black,42023120
A135_Navy,42023120
A135_Red,42023120
A135_Tan,42023120
A137_Black,42023120
A137_Navy,42023120
A137_Red,42023120
A137_Tan,42023120
A301_Black,42023120
A301_Navy,42023120
A301_Red,42023120
A301_Tan,42023120
A3902J21,85176290
A4-1,85444999
A40_Black,42023120
A40_Brown,42023120
A42115,42021250
A61,42023120
A904_Black,42023120
A904_Navy,42023120
A904_Red,42023120
A904_Tan,42023120
A905_Navy,42023120
A905_Tan,42023120
AA-2074,3924
AA2331,61159600
Aavante Bar 1198,85182900
Aavante Bar 1280,85182100
Aavante Bar 1803,85182900
Aavante Bar 3100D,85182900
Aavante Bar 4000DA,85182900
AC0817,84213920
AC1217,84213920
AC2958-63,84213920
AC3059-65,84213920
AC5488,95066210
ACGIH-IHL101,8516
ACGIH-IHL102,8516
ACGIH-IHL104,8516
ACGIH-IHL151,8516
ACGIH-IHL152,8516
ACGIH-IHL154,8516
ACGIH-IHL201,8516
ACGIH-IHL251,851610
ACPUWP,8421
AERUM,84212190
AGO,84212120
AH9098,42021250
AH9099,42021250
Airdopes-443,85176290
Airdops-203,8517
AIWH-3LRPIDJT3KW5Y,851610
AIWH-3LSOLNEO3KW5Y,851610
AMUWP,84212190
AN0 (0) 39 001,42021250
ANG001M,33030090
AP12WL,76151021
AQU001,33030090
AS4 (0) 09 004,42021250
AS4 (0) 41 001,42021250
AS5 (0) 09 006,42021250
AS5 (0) 41 007,42021250
ASSU,84212190
ASWH-1810,851610
ASWH-1815,851610
ASWH-1825,851610
ASWH-1910SHz,8516
ASWH-1915SHz,8516
ASWH-1925SHz,8516
ASWH-2010,851610
ASWH-2015,851610
ASWH-2025,851610
ASWH-2415,851610
ASWH-2425,851610
ASWH-2735,8516
ASWH-2750,8516
ASWH-3006,841950
ASWH-3010,851610
ASWH-3015,851610
ASWH-3025,851610
ASWH1310-WHT/BLU,8516
ASWH1315-WHT/BLU,8516
ASWH1325-WHT/BLU,8516
ASWH1606,851610
ASWH1610,851610
ASWH1615,851610
ASWH1625,851610
AUX-1,85444999
AVI001,9503
AVI002,950300
AVI003,950300
AVI004,950300
AZZ001,33030090
AZZ001M,33030090
AZZ002,33030090
AZZ002M,33030090
AZZ003,33030090
AZZ003M,33030090
AZZ004M,33030090
B205,42023120
Bassheads 110,85183000
BEL550MS0I,85165000
BEN001M,33030090
BEN002M,33030090
BEN003W,33030090
BEN004M,33030090
BEN005W,33030090
BEN006W,33030090
BEN007M,33030090
BEN008M,33030090
BEN009M,33030090
BEN010W,33030090
BEN011W,33030090
BEN012M,33030090
BEN013M,33030090
BEN014W,33030090
BEN015W,33030090
BEN016M,33030090
BEN017M,33030090
BF-630A-A,950300
BG-1001B,7615
BG-1002B,7615
BG-1003B,7615
BG-1089B,761510
BG-1092B,3924
BG-1093B,3924
BG-1095B,3924
BG-1096B,7615
BG-1097B,7615
BG-193,7615
BG-194,85166000
BG-197,7323
BG-20501,7615
BG-31030,7615
BG-31031,0
BG-31032,7615
BG-31033,7615
BG-31034,7615
BG-31035,7615
BG-31036,3924
BG-31140,7615
BG-31141,7615
BG-31142,7615
BG-31149,7615
BG-31150,7615
BG-31151,7615
BG-31153,7615
BG-31154,732399
BG-31157,3924
BG-31158,3924
BG-31159,7615
BG-31161,7615
BG-31162,7615
BG-31165,7615
BG-31166,7615
BG-31167,7615
BG-31168,7615
BG-31170,7615
BG-31171,7615
BG-31172,7615
BG-31173,732399
BG-31247,7615
BG-31248,7615
BG-31249,7615
BG-31250,7615
BG-31251,7615
BG-31253,7615
BG-31254,7615
BG-31260,7615
BG-31262,7615
BG-31263,7615
BG-31264,7615
BG-31266,7615
BG-31269,7615
BG-31272,3924
BG-31277,7615
BG-3200,7615
BG-34102,7615
BG-5028,732393
BG-6328,7615
BG-6331,7615
BG-6334,3924
BG-6347,7615
BG-6349,7615
BG-7099,7615
BG-9947,732393
BG-9948,7615
BG-9949,7615
BG-9955,7615
BG-9956,7615
BG-9958,7615
BG-9959,7615
BG-9960,7615
BG1024/16,85101000
BG3006,85101000
BHB862,85163200
BHC017,85163100
BHD006,85163100
BHH811,85163200
BHH880,85163200
BHS384,85163200
BHS386,85163200
BLC001M,33030090
BN-003,85183000
BN-004,85183000
BN-006,85183000
BN-009,85176290
BN-026,85182200
BN-033,85182200
BQ6340,42021250
BRE235,85103000
BRE245,85103000
BT1210/15,85103000
BT1215/15,85103000
BT2505A,85182200
BT3102,85103000
BT3105,85103000
BT3203/85,85103000
BT3215/15,85103000
BT3901A,85182200
BT3901B,85182200
BT51B,85182200
BT60BK,85182200
BT6620,85182200
BT7501,85103000
BTF-001,9617
BTF-002,9617
BTF-003,9617
BTF-004,9617
BTF-005,9617
BTF-006,9617
BTF-007,9617
BTF-008,9617
BTF-009,9617
BTF-010,9617
BTF-011,9617
BTF-012,9617
BTF-013,9617
BTF-014,9617
BTF-015,9617
BTF-016,9617
BTF-017,9617
BTF-018,9617
BTF-019,9617
BTF-020,9617
BTF-021,9617
BTF-022,7615
BTF-023,9617
BTF-024,9617
BTF-025,9617
BTF-026,9617
BTF-027,9617
BTF-028,9617
BTF-029,9617
BTF-030,9617
BTF-031,9617
BTF-032,9617
BTF-033,9617
BTF-034,9617
BTF-035,9617
BUR001,33030090
BUR001W,33030090
BUR002,33030090
BUR002W,33030090
BUR003,33030090
BUR003W,33030090
BUR004,33030090
BUR004W,33030090
BUR005,33030090
BUR005M,33030090
BUR006,33030090
BUR006W,33030090
BUR007,33030090
BUR007M,33030090
BUR008,33030090
BUR008M,33030090
BUR009,33030090
BUR009W,33030090
BUR010,33030090
BUR010M,33030090
BUR011M,33030090
BUR012W,33030090
BUR013M,33030090
BUR014W,33030090
BUR015W,33030090
BUR016M,33030090
BUR017W,33030090
BUR018M,33030090
BUR019W,33030090
BVL001,33030090
BVL001S,33030090
BVL002,33030090
BVL002M,33030090
BVL003,33030090
BVL003M,33030090
BVL004,33030090
BVL004W,33030090
BVL005,33030090
BVL005M,33030090
BVL006,33030090
BVL006M,33030090
BVL007W,33030090
BZ-R6,90251920
CAC001W,33030090
CAD001,33030090
CAD002,33030090
CAD005,33030090
CAL001,33030010
CAL001M,33030010
CAL002,33030010
CAL002M,33030010
CAL003,33030010
CAL003M,33030010
CAL004,33030010
CAL004M,33030010
CAL005,33030010
CAL005W,33030010
CAL006,33030010
CAL006M,33030010
CAL007,33030010
CAL007M,33030010
CAL008,33030010
CAL008M,33030010
CAL009M,33030010
CAL010W,33030010
CAR001,33030090
CAR001M,33030090
CAR001W,33030090
CAR002,33030090
CAR002M,33030090
CAR003,33030090
CAR003W,33030090
CAR004,33030090
CAR004M,33030090
CAR005,33030090
CAR005W,33030090
CAR006,33030090
CAR006M,33030090
CAR007W,33030090
CAR008W,33030090
CAR010M,33030090
CART001M,33030090
CART002U,33030090
CART003M,33030090
CBASB,950300
CB_AIR_POP,8518
CB_EPIC_LITE,8518
CB_IGNITE_PRO,85176290
CB_IGNITE_S4,85176290
CB_OBSEB,85176290
CB_ORBIT_X,85176290
CCI-1,85437039
CD3041,65050090
CD3042,65050090
CE7 (0) 09 003,42021250
CE7 (0) 09 004,42021250
CE8091,95066210
CG1533,42021250
CHL001W,33030090
CHL002W,33030090
CHL003W,33030090
CHTO1,950300
CHTO10,950300
CHTO12,9503
CHTO13,950300
CHTO14,9503
CHTO15,950300
CHTO16,950300
CHTO17,950300
CHTO18,950300
CHTO19,950300
CHTO2,9503
CHTO20,950300
CHTO21,950300
CHTO4,950300
CHTO5,9503
CHTO6,950300
CHTO7,950300
CHTO8,950300
CHTO9,950300
CK001S,33030010
CK002S,33030010
CK003W,33030010
CK004W,33030010
CK005M,33030010
CK006W,33030010
CK007S,33030010
CK008S,33030010
CLI001M,33030090
CLI002W,33030090
CX150BT-WT,8518
CX180,85183000
CX3RED,85183000
CX80S,85183000
CY6067B-A,9503
CY6240,39233090
DA1 (0) 00 005,42021250
DA8 (0) 08 001,42021250
DA8 (0) 08 002,42021250
DA8 (0) 08 004,42021250
DAV001,33030090
DAV001M,33030010
DAV002,33030090
DAV002W,33072000
DAV003,33030090
DAV003M,33072000
DAV004,33030090
DAV004W,33030010
DAV005,33030090
DAV005M,33030010
DAV006,33030090
DAV006M,33030010
DAV007,33030090
DAV007W,33030010
DAV008,33030090
DAV008M,33030010
DAV009M,33030010
DAV010M,33030010
DAV011M,33030010
DAV012M,33030010
DAV013M,33030010
DAV014M,33030010
DAV015M,33030010
DAV016M,33030010
DAV017W,33030010
DAV018M,33030010
DAV019M,33030010
DH34,950300
DH9 (0) 00 001,42021250
DI1 (0) 09 001,42021250
DI1 (0) 09 002,42021250
DI1 (0) 09 004,42021250
DI1 (0) 09 005,42021250
DIB098G50I,84146000
DIG098G50I,84146000
DIR001M,33030090
DK6 (0) 09 002,42022190
DK6 (0) 16 001,42022190
DK6 (0) 16 002,42022190
DK6 (0) 16 003,42022190
DK9 (0) 09 001,42021250
DLC2508B,85444220
DLC2508F,85444220
DLC2508G,85444220
DLC2518B,85444220
DLC2528N,85444220
DLP1710,85076000
DLP1710CB/97,85076000
DLP1720,85076000
DLP6006,85076000
DLP6006B,85076000
DLP6006N,85076000
DLP8006U,85076000
