id,name,status,sub_cate_id
5671,sundrop duo coconut pralines 171.6g,1,40
5672,sundrop duo coconut pralines 85.8g,1,40
5673,sunfeast chatpata masala biscuits 32.9g,1,38
5674,sunfeast chatpata masala biscuits 75g,1,38
5675,sunfeast farmlite 5 seed digestive 250g,1,38
5676,sunfeast farmlite 5seed digestive 100g,1,38
5677,sunfeast nuts digestive almond & cashews 100g,1,38
5678,sunfeast nuts digestive almond & cashews 250g,1,38
5679,sunfeast veda digestive 100g,1,38
5680,sunfeast veda digestive 250g,1,38
5681,sunfeast yippee noodles magic masala 540g,1,41
5682,sunfeast yippee noodles saucy masala 67.5g,1,41
5683,tasty pixel snack dressing 1.2kg jar,1,44
5684,tasty pixel snack dressing 1.2kg pack,1,44
5685,tic tac orange 116.4g jar,1,40
5686,tic tac red apple 46.2g,1,40
5687,tic tac seeds elaichi & ginger 46.2g,1,40
5688,top ramen chicken noodles 280g,1,41
5689,unibic snappers potato crackers cream n onion 75g,1,38
5690,unibic snappers potato crackers indi spice 75g,1,38
5691,veeba cheesy spread & dressing 450g,1,44
5692,veeba food services white cheese dressing 1kg,1,44
5693,veeba hot sweet tomato chilli sauce 500g,1,44
5694,veeba tomato ketchup 8g*100,1,44
5695,veeba tomato ketchup chef's special 950g,1,44
5696,veeba truly tomato ketchup 1kg,1,44
5697,veeba truly tomato ketchup 500g,1,44
5698,veeba truly tomato ketchup 900g,1,44
5699,weikfield instant pasta masala twist 77g,1,41
5700,weikfield instant pasta tomato salsa 77g,1,41
5701,weikfield pasta elbow 400g,1,41
5702,weikfield pasta fusilli 400g,1,41
5703,weikfield pasta macaroni 900g,1,41
5704,weikfield pasta penne 400g,1,41
5705,wingreen basil hummus 150g,1,44
5706,wingreen dip & spread sour cream and onion 150g,1,44
5707,wingreen greek goddess dip & spred chilli cheese 150g,1,44
5708,wingreen greek goddess dip & spred mint cucumber 150g,1,44
5709,wingreen original recipe italian herb mayo 450g,1,44
5710,wingreens original recipe premium veg mayo 450g,1,44
5711,wrigleys boomer jelly 600g jar,1,40
5712,wrigleys doublement mints 76g,1,40
5713,wrigleys doublemint chewy mints 33.6g,1,40
5714,wrigleys doublemint chewy mints strawberry flavour 33.5g,1,40
5715,wrigleys doublmint ice brust 412.5g jar,1,40
5716,wrigleys orbit raw mango flavour 140.8g,1,40
5717,wrigleys orbit sugar free mixed fruit flavour 66g,1,40
5718,wrigleys orbit sugar free raw mango flavour 22g,1,40
5719,wrigleys orbit sugar free spearmint flavour 66g,1,40
5720,wrigleys orbit sugar free strawberry flavour 32units-140.8g,1,40
5721,yoga bar muesli almond quinoa crunch 400g,1,39
5722,yoga bar oats dark chocolate 400g,1,39
5723,yoga bar oats veggies masala 400g,1,39
5724,zandu pure honey 400g buy1 get1 free,1,44
5725,chocos,1,39
