id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
419187,49,419187.jpeg,Lays Potato Chips Spanish Tomato Tango 73G,"[""419187.jpeg""]",30,28,7,1,5,43,1,1,1,73,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
412590,49,412590.jpeg,Lays Potato Chips Wafer Style Sundried Chilli Flavour 28G Pack Of 10,"[""412590.jpeg""]",100,95,5,1,5,43,1,1,1,28,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|4783|5401|1241,0,422
406761,49,406761.jpeg,Makino Corn Chips Cream & Onion 60G,"[""406761.jpeg""]",35,32,9,1,5,43,1,1,1,60,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5746|5401|1241,0,453
406760,49,406760.jpeg,Makino Corn Chips Red Chilli Chatka 60G,"[""406760.jpeg""]",35,32,9,1,5,43,1,1,1,60,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5746|5401|1241,0,453
421986,49,421986.jpeg,Makino Nacho Chips Peri Peri 150G,"[""421986.jpeg""]",85,78,9,1,5,43,1,1,1,150,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5746|5401|1241,0,453
421988,49,421988.jpeg,Makino Nacho Chips Peri Peri 60G,"[""421988.jpeg""]",35,32,9,1,5,43,1,1,1,60,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5746|5401|1241,0,453
421990,49,421990.jpeg,Makino Nacho Chips Rosted Masala 60G,"[""421990.jpeg""]",35,32,9,1,5,43,1,1,1,60,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5746|5401|1241,0,453
406779,49,406779.jpeg,Makino Nacho Chips Sweet Chilly 150G,"[""406779.jpeg""]",85,78,9,1,5,43,1,1,1,150,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5746|5401|1241,0,453
419720,49,419720.jpeg,Mr Makhana By Veda Premium Raw Makhana 100G,"[""419720.jpeg""]",139,127,9,1,5,43,1,1,1,100,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5747|5778,0,1025
419721,49,419721.jpeg,Mr Makhana By Veda Premium Raw Makhana 200G,"[""419721.jpeg""]",265,242,9,1,5,43,1,1,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5747|5779,0,1025
