id,cate_id,sub_cate_id
LB3 (0) 00 001,14,117
LB3 (0) 08 001,14,117
LB3 (0) 08 002,14,117
LB3 (0) 09 003,14,117
LB3 (0) 21 003,14,117
LB3 (0) 64 001,14,117
LB7 (0) 01 002,14,117
LB7 (0) 01 003,14,117
LB7 (0) 09 003,14,117
LB9 (0) 00 002,14,117
LB9 (0) 00 102,14,117
LB9 (0) 04 003,14,117
LB9 (0) 08 001,14,117
LB9 (0) 09 003,14,117
LB9 (0) 38 002,14,117
LB9 (0) 41 002,14,117
LB9 (0) 41 102,14,117
LB9 (0) 74 003,14,117
LC1 (0) 00 002,14,117
LC1 (0) 00 102,14,117
LC1 (0) 01 001,14,117
LC1 (0) 08 001,14,117
LC1 (0) 09 002,14,117
LC1 (0) 64 002,14,117
LC1 (0) 64 102,14,117
LC1 (0) 96 003,14,117
LC2 (0) 09 001,14,117
LC2 (0) 11 002,14,117
LC3 (0) 09 002,14,117
LC3 (0) 11 001,14,117
LC3 (0) 21 001,14,117
LC3 (0) 61 002,14,117
LC4 (0) 01 002,14,117
LC4 (0) 09 001,14,117
LD1 (0) 01 001,14,71
LD1 (0) 01 002,14,71
LD1 (0) 01 003,14,71
LD1 (0) 08 001,14,71
LD1 (0) 08 002,14,71
LD1 (0) 08 003,14,71
LD5 (0) 01 001,14,71
LD5 (0) 18 001,14,71
LD9 (0) 00 001,14,71
LD9 (0) 01 001,14,71
LD9 (0) 03 001,14,71
LE2 (0) 07 001,14,71
LE2 (0) 34 001,14,71
LE2 (0) 70 001,14,71
R101_BLACK,14,117
R101_Golden,14,117
R101_Grey,14,117
R101_NAVY,14,117
R101_RED,14,117
R101_Tan,14,117
R1113_Black,14,118
R1113_Navy,14,118
R1113_Tan,14,118
R1114_BLACK,14,118
R1114_Navy,14,118
R1114_Red,14,118
R1114_Tan,14,118
S70202_TAN,14,118
SW30000444154,14,71
W167_Black,14,118
Z19 (0) 01 004,14,123
Z19 (0) 01 006,14,123
Z19 (0) 01 009,14,123
Z19 (0) 01 012,14,123
Z19 (0) 01 013,14,123
Z19 (0) 09 004,14,123
Z19 (0) 09 006,14,123
Z19 (0) 13 016,14,123
Z19 (0) 13 062,14,123
Z19 (0) 17 006,14,123
Z19 (0) 28 063,14,123
Z19 (0) 28 064,14,123
Z19 (0) 37 019,14,123
Z19 (0) 37 020,14,123
Z19 (0) 41 015,14,123
Z19 (0) 41 016,14,123
Z19 (0) 41 062,14,123
Z19 (0) 41 067,14,123
Z19 (0) 86 002,14,123
Z19 (0) 98 063,14,123
Z19 (0) 98 064,14,123
Z34 (0) 08 016,14,123
