id,name,kind
340749,Sakthi Turmeric Powder 200 G,1
340750,Sakthi Coriander Powder 200 G,1
340752,Sakthi Sambar Powder 500 G,1
340753,Sakthi Chicken Masala - 100 g Pouch,1
340754,Sakthi Chicken Masala 50 G,1
340758,"Sakthi Masala Powder - Biryani, 50 g Pouch",1
340759,Sakthi Fish Fry 50 G,1
340760,Sakthi Mutton Masala 100 g,1
341540,Fine Food Chilli Powder 100 g,1
341546,Fine Food Chilli Powder 200 g,1
344799,"MTR Rasam Powder, 100 g",1
345729,Kwality Kasuri Methi 85g,1
345730,"Kwality Compounded Black Pepper Powder, 100 g",1
345731,Kwality Compounded Jeera Powder 100 g,1
352436,Everest Super Sambar Masala Powder 100 g,1
353856,"Aachi Idly Chilly Powder, 100 g",1
353857,Aachi Garam Masala Powder 100 g,1
353859,"Aachi Chicken Masala Powder, 100 g",1
353860,"Aachi Mutton Masala Powder, 100 g",1
353861,"Aachi Sambar Powder, 100 g",1
353862,"Aachi Rasam Powder, 100 g",1
353863,"Aachi Fish Fry Masala Powder, 50 g",1
353865,"Aachi Fish Curry Masala, 50 g",1
353866,"Aachi Asafoetida /Hing Powder, 50 g",1
357077,HS Ginger Garlic Paste 1 kg,1
358760,Fine Life Chicken Masala Powder 100 g,1
358772,Fine Life garam Masala 100 g,1
358773,Fine Life Chat Masala Powder 100 g,1
359000,Eastern Vangi Bath Mix Brinjal Rice 100 G,1
360176,"Weikfield Mustard (Traditional English), 225g",1
360843,"DNV Mustard Kasundi, 350 g Bottle",1
363878,Kwality Super garam Masala Powder 1 kg,1
372545,Kesari Saffron / Kesar Whole (1g),1
373975,MTR Bisibelabath Masala 200 g,1
373976,"MTR Special Garam Masala, 50 g",1
373977,"MTR Compounded Asafoetida (Hing), 50 g Jar",1
377215,MTR Spicy Sambar Masala Powder 200 g,1
377216,MTR Spicy Sambar Masala Powder 100 g,1
378355,Organic Tattwa Red Chilli Powder 100g,1
378357,Organic Tattwa Black Pepper Whole 100g,1
378358,Organic Tattwa Black Mustard 100g,1
378360,Organic Tattwa Cumin Whole 100g,1
378363,24 Mantra Organic Coriander Powder 100g,1
380135,Pro Nature 100% Organic Cardamom (Small) 50 g,1
380137,"Pro Nature 100% Organic Tamarind, 500 g",1
382131,On1Y Mixed Herbs 14 G,1
382132,On1y Oregano 10 g (Dried Herb Farmed in Turkey),1
382143,On1y Chilli Flakes 34g Farmed in India,1
382182,Mtr Lemon Rice Powder 50 G,1
382183,Mtr Tomato Rice Powder 50 G,1
384245,24 Mantra Organic Black Pepper Whole 50 g,1
385033,Fine Life Fenugreek / Methi Whole 100 g,1
385034,Fine Life Small Mustard Whole 500 g,1
385035,Fine Life Fenugreek / Methi Whole 200 g,1
385036,Fine Life Small Mustard / Rai 200 g,1
385037,Fine Life Fenugreek / Methi Whole 500 g,1
385038,Fine Life Small Mustard Whole 100 g,1
385040,Fine Life Big Mustard Whole 200 g,1
385042,Fine Life Big Mustard Whole 1 kg,1
385044,Fine Life Mace / Javitri Whole 50 g,1
385045,Fine Life Cardamom / Elaichi Whole 500 g,1
385048,Fine Life Kalonji (Kala Jeera) 200 g,1
385049,Fine Life Nijella / Kalonji Whole 100 g,1
385050,Fine Life Fennel / Saunf Whole 200 g,1
385057,Fine Life Cumin (Jeera) Whole 100 g,1
385059,Fine Life Cumin / Jeera 200 g,1
385060,Fine Life Cumin (Jeera) Whole 500 g,1
385061,Fine Life Dry Ginger 200 g,1
385062,Fine Life Dry Ginger 50 g,1
385063,Fine Life Fennel / Saunf 100 g,1
385064,Fine Life Fennel / Saunf Whole 1 kg,1
385074,Fine Life Caraway Seeds (Shahjeera) 200 g,1
385077,Fine Life Cassia Bark 50 G,1
385078,Fine Life Byadagi Stemless Chilli / Mirchi Whole 100 g,1
385086,Fine Life Clove / Laung Whole 100 g,1
385087,Fine Life Clove / Laung Whole 200 g,1
385089,Fine Life Cloves 50 g,1
385090,Fine Life Coriander / Dhaniya Whole 200 g,1
